Id,Label,main_country,Type
2OhUNb01gLwygOizYvTm0e,Big One,Argentina,Artist
2BTS8Np1YzPQuXjgdlqsBB,Emanero,Argentina,Artist
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,Argentina,Artist
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,Argentina,Artist
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,Uruguay,Artist
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,Bolivia,Artist
06Q5VlSAku57lFzyME3HrM,Ke Personajes,Bolivia,Artist
4oZolC0sCwCAKqsNXfRlVS,The La Planta,Uruguay,Artist
7yIp2QRLkQ6loIrupimiri,Pinky SD,Argentina,Artist
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,Argentina,Artist
6HTUcOExehqydqa7C3usAa,Abel Pintos,Argentina,Artist
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,Argentina,Artist
19HM5j0ULGSmEoRcrSe5x3,Milo j,Argentina,Artist
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,Argentina,Artist
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,Argentina,Artist
2Jb9jVnCpWkXtoGznFJ6bF,ECKO,Argentina,Artist
6QVEWdYtBkaJcboEtH5FeB,Los Turros,Argentina,Artist
04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,Argentina,Artist
1QZuAtDYNrk2QMogJulsyq,Karina,Argentina,Artist
6iYRN5eaz8LSxvwkhmwkRj,j mena,Argentina,Artist
6LZA6PhNCwUfHzqfpN1nYL,Angela Torres,Argentina,Artist
3WMlRpW5JWuDI95TcEWt3r,Salastkbron,Argentina,Artist
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,Argentina,Artist
716NhGYqD1jl2wI1Qkgq36,Bizarrap,Argentina,Artist
4m6ubhNsdwF4psNf3R8kwR,KHEA,Argentina,Artist
2qWK8K2Jfh67UqtwY8tCW6,YSY A,Argentina,Artist
7fT2Me47PQ8T7954PKrcwR,Bhavi,Argentina,Artist
