Source,Target,Weight
4AK6F7OLvEQ5QYCBNiQWHq,pop,1
7f5Zgnp2spUuuzKplmRkt7,house,1
7f5Zgnp2spUuuzKplmRkt7,pop,1
2txHhyCwHjUEpJjWrEyqyX,pop,1
5Y3MV9DZ0d87NnVm56qSY1,rap,1
5Y3MV9DZ0d87NnVm56qSY1,urbano latino,1
5Y3MV9DZ0d87NnVm56qSY1,trap,1
7FNnA9vBm6EKceENgCGRMb,pop,1
7FNnA9vBm6EKceENgCGRMb,funk,1
1JbemQ1fPt2YmSLjAFhPBv,pop,1
60ZOYUFnCYEeKYsxgvPxOS,rap,1
3rIZMv9rysU7JkLzEaC5Jp,rock,1
3rIZMv9rysU7JkLzEaC5Jp,pop,1
1bAftSH8umNcGZ0uyV7LMg,rap,1
1bAftSH8umNcGZ0uyV7LMg,urbano latino,1
1bAftSH8umNcGZ0uyV7LMg,hip hop,1
1bAftSH8umNcGZ0uyV7LMg,trap,1
4gzpq5DPGxSnKTe4SA8HAU,pop,1
6eXZu6O7nAUA5z6vLV8NKI,r&b,1
6eXZu6O7nAUA5z6vLV8NKI,rap,1
6eXZu6O7nAUA5z6vLV8NKI,trap,1
3wcj11K77LjEY1PkEazffa,hip hop,1
3wcj11K77LjEY1PkEazffa,pop,1
0jIWKlfmD4Ew7HeVVrq03g,pop,1
7vXDAI8JwjW531ouMGbfcp,pop,1
4kcQWQDK0u9AftVSpdrAgk,rap,1
4kcQWQDK0u9AftVSpdrAgk,trap,1
2OhUNb01gLwygOizYvTm0e,rap,1
2OhUNb01gLwygOizYvTm0e,trap,1
2BTS8Np1YzPQuXjgdlqsBB,rap,1
2BTS8Np1YzPQuXjgdlqsBB,hip hop,1
1FxPMQ9A0882eNDx3ZkD6B,cumbia,1
1FxPMQ9A0882eNDx3ZkD6B,pop,1
6Gsh7oJoJ5EQUuQk0EhfWL,rap,1
1DxLCyH42yaHKGK3cl5bvG,urbano latino,1
1DxLCyH42yaHKGK3cl5bvG,pop,1
0ZCO8oVkMj897cKgFH7fRW,cumbia,1
06Q5VlSAku57lFzyME3HrM,cumbia,1
06Q5VlSAku57lFzyME3HrM,pop,1
4oZolC0sCwCAKqsNXfRlVS,cumbia,1
4oZolC0sCwCAKqsNXfRlVS,pop,1
7yIp2QRLkQ6loIrupimiri,cumbia,1
7yIp2QRLkQ6loIrupimiri,pop,1
5Qv1EsPany9Fc3yyCJnoxw,cumbia,1
6HTUcOExehqydqa7C3usAa,pop,1
60XHOAhvEBiV6BGBOv8ClM,rap,1
60XHOAhvEBiV6BGBOv8ClM,hip hop,1
19HM5j0ULGSmEoRcrSe5x3,rap,1
19HM5j0ULGSmEoRcrSe5x3,urbano latino,1
19HM5j0ULGSmEoRcrSe5x3,trap,1
2UZIAOlrnyZmyzt1nuXr9y,rap,1
2UZIAOlrnyZmyzt1nuXr9y,hip hop,1
2UZIAOlrnyZmyzt1nuXr9y,r&b,1
2UZIAOlrnyZmyzt1nuXr9y,urbano latino,1
2UZIAOlrnyZmyzt1nuXr9y,trap,1
3vQ0GE3mI0dAaxIMYe5g7z,rap,1
