position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
1,Mírame,"[1TA5sGRlKUJXBN4ZyJuDIX, 3m5qlPf2OkihLz3dRYnkPA]",0.717,0.656,7,-4.449,1,0.0797,0.141,3e-05,0.0661,0.695,175.956,audio_features,2btNsI4OvcVl7SAHQQDHFB,spotify:track:2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/tracks/2btNsI4OvcVl7SAHQQDHFB,https://api.spotify.com/v1/audio-analysis/2btNsI4OvcVl7SAHQQDHFB,157453,4,Colombia
2,Soltera - W Sound 01,"[5uwa6tAMMfNbBFIHiI6NV4, 1TA5sGRlKUJXBN4ZyJuDIX, 3m5qlPf2OkihLz3dRYnkPA]",0.734,0.578,1,-4.147,1,0.295,0.155,0.000242,0.113,0.88,199.997,audio_features,13BDiikG6y5o5cQTK0HpW6,spotify:track:13BDiikG6y5o5cQTK0HpW6,https://api.spotify.com/v1/tracks/13BDiikG6y5o5cQTK0HpW6,https://api.spotify.com/v1/audio-analysis/13BDiikG6y5o5cQTK0HpW6,142022,4,Colombia
3,POLOS OPUESTOS REMIX - BLESSD VERSION,"[1TA5sGRlKUJXBN4ZyJuDIX, 3i6lAgVHplDXb6zrjIeBeK]",0.535,0.545,9,-7.98,0,0.2,0.39,0.0,0.0648,0.553,118.994,audio_features,2ALQyXMC26Vew7JX7ert9M,spotify:track:2ALQyXMC26Vew7JX7ert9M,https://api.spotify.com/v1/tracks/2ALQyXMC26Vew7JX7ert9M,https://api.spotify.com/v1/audio-analysis/2ALQyXMC26Vew7JX7ert9M,216000,5,Colombia
4,LUNA,"[2LRoIwlKmHjgvigdNGBHNo, 7jAs1uPnpfNmT6e5qtEPxq]",0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,audio_features,7bywjHOc0wSjGGbj04XbVi,spotify:track:7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi,https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi,196800,4,Colombia
5,Si Antes Te Hubiera Conocido,[790FomKkXshlbRYZFtlgla],0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,audio_features,6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k,195824,4,Colombia
6,SE ME OLVIDA,"[6B1hSmaLdOvChinK2Z7gfi, 2LRoIwlKmHjgvigdNGBHNo]",0.786,0.707,7,-4.386,0,0.0635,0.0399,0.0,0.121,0.691,82.045,audio_features,2gmd7lY3QSzLh0xIY4cRvi,spotify:track:2gmd7lY3QSzLh0xIY4cRvi,https://api.spotify.com/v1/tracks/2gmd7lY3QSzLh0xIY4cRvi,https://api.spotify.com/v1/audio-analysis/2gmd7lY3QSzLh0xIY4cRvi,225373,4,Colombia
7,UWAIE,[3UTF2no3muGdiFXVujl94i],0.705,0.783,9,-4.783,0,0.0403,0.138,0.0,0.0984,0.454,103.001,audio_features,5QjmUqgpPQgXgg4606DqZF,spotify:track:5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF,172427,4,Colombia
8,Las Piponas (Remix),"[3i6lAgVHplDXb6zrjIeBeK, 1TA5sGRlKUJXBN4ZyJuDIX]",0.73,0.587,8,-4.978,1,0.083,0.0223,0.0,0.14,0.109,119.656,audio_features,281YJmnThveWjsWVic9Ym6,spotify:track:281YJmnThveWjsWVic9Ym6,https://api.spotify.com/v1/tracks/281YJmnThveWjsWVic9Ym6,https://api.spotify.com/v1/audio-analysis/281YJmnThveWjsWVic9Ym6,244000,4,Colombia
9,Hasta Aquí Llegué,"[1cUpGtXcSQsovNYEZOQgOG, 7a0XAaPaK2aDSqa8p3QnC7]",0.641,0.657,11,-8.338,0,0.218,0.538,0.0,0.106,0.411,100.016,audio_features,0Qe2g06yzLBuuSvVmFiweP,spotify:track:0Qe2g06yzLBuuSvVmFiweP,https://api.spotify.com/v1/tracks/0Qe2g06yzLBuuSvVmFiweP,https://api.spotify.com/v1/audio-analysis/0Qe2g06yzLBuuSvVmFiweP,188887,4,Colombia
10,Soltera,[0EmeFodog0BfCgMzAIvKQp],0.841,0.752,2,-4.735,1,0.105,0.167,0.00046,0.949,0.67,100.076,audio_features,3OJDtCdYs8QJnui708tEU3,spotify:track:3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3,214643,4,Colombia
