position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
4,гладиатор/рыцарь,[5ByAEWetNZ95GufzBSOkc3],0.546,0.534,1,-7.28,1,0.0334,0.118,0.0833,0.166,0.0934,120.173,audio_features,3nNKws5aNnTa3tgQOIS5Sk,spotify:track:3nNKws5aNnTa3tgQOIS5Sk,https://api.spotify.com/v1/tracks/3nNKws5aNnTa3tgQOIS5Sk,https://api.spotify.com/v1/audio-analysis/3nNKws5aNnTa3tgQOIS5Sk,104026,4,Kazakhstan
5,Привет,[5TZ0uM0InXX4LtI8hTsXlv],0.808,0.49,3,-6.293,1,0.123,0.605,0.0,0.155,0.275,82.014,audio_features,6hvPHIYi04pKv1vvTeVF9j,spotify:track:6hvPHIYi04pKv1vvTeVF9j,https://api.spotify.com/v1/tracks/6hvPHIYi04pKv1vvTeVF9j,https://api.spotify.com/v1/audio-analysis/6hvPHIYi04pKv1vvTeVF9j,155122,4,Kazakhstan
6,FRI(END)S,[3JsHnjpbhX4SnySpvpa9DK],0.466,0.601,8,-4.468,1,0.053,0.0315,0.0,0.0927,0.627,53.376,audio_features,0PBTlQ84CBJF0tBnKGmQa6,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/tracks/0PBTlQ84CBJF0tBnKGmQa6,https://api.spotify.com/v1/audio-analysis/0PBTlQ84CBJF0tBnKGmQa6,148082,4,Kazakhstan
7,Крепче,[0E56Ncr2I37JQhW71UJALE],0.769,0.31,9,-14.249,0,0.372,0.872,0.0,0.144,0.71,77.994,audio_features,6bCLkzoE3agC7Ws9NxVxIn,spotify:track:6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/tracks/6bCLkzoE3agC7Ws9NxVxIn,https://api.spotify.com/v1/audio-analysis/6bCLkzoE3agC7Ws9NxVxIn,120112,4,Kazakhstan
8,Очи,[5TZ0uM0InXX4LtI8hTsXlv],0.894,0.548,5,-6.839,0,0.0469,0.815,1e-06,0.104,0.629,114.031,audio_features,3qPi9H4HOdYIl9Lr4WPLJU,spotify:track:3qPi9H4HOdYIl9Lr4WPLJU,https://api.spotify.com/v1/tracks/3qPi9H4HOdYIl9Lr4WPLJU,https://api.spotify.com/v1/audio-analysis/3qPi9H4HOdYIl9Lr4WPLJU,170789,4,Kazakhstan
9,Баяғыдай,[6e7rMLAtwn5YRapc2iHAlG],0.606,0.465,4,-9.072,0,0.0421,0.407,0.0,0.153,0.406,119.851,audio_features,1jgFeioctc38E4VOoPz1nr,spotify:track:1jgFeioctc38E4VOoPz1nr,https://api.spotify.com/v1/tracks/1jgFeioctc38E4VOoPz1nr,https://api.spotify.com/v1/audio-analysis/1jgFeioctc38E4VOoPz1nr,201224,4,Kazakhstan
10,Клятвы,[3JLa8aXwsmX727vtb4bPUi],0.756,0.381,7,-8.597,0,0.0581,0.289,0.000798,0.106,0.304,90.002,audio_features,5GKrcgAo9yOlKTfFcTEIbp,spotify:track:5GKrcgAo9yOlKTfFcTEIbp,https://api.spotify.com/v1/tracks/5GKrcgAo9yOlKTfFcTEIbp,https://api.spotify.com/v1/audio-analysis/5GKrcgAo9yOlKTfFcTEIbp,138000,4,Kazakhstan
11,Арман - Сені күнде көру,[1e9PC6DAoGYlg0r6Q1VWcI],0.625,0.574,11,-6.543,0,0.178,0.467,8e-06,0.221,0.533,90.011,audio_features,4ExjsnUFdOejQZLk9aysrl,spotify:track:4ExjsnUFdOejQZLk9aysrl,https://api.spotify.com/v1/tracks/4ExjsnUFdOejQZLk9aysrl,https://api.spotify.com/v1/audio-analysis/4ExjsnUFdOejQZLk9aysrl,170667,4,Kazakhstan
12,Sheker,[2RntBZZLAjvQxQhOKHHhX9],0.705,0.55,8,-8.729,0,0.128,0.48,0.0,0.328,0.491,160.017,audio_features,54w04Shxa9xRKJkZQp7uqB,spotify:track:54w04Shxa9xRKJkZQp7uqB,https://api.spotify.com/v1/tracks/54w04Shxa9xRKJkZQp7uqB,https://api.spotify.com/v1/audio-analysis/54w04Shxa9xRKJkZQp7uqB,217355,4,Kazakhstan
13,WILDFLOWER,[6qqNVTkY8uBg9cP3Jd7DAH],0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,audio_features,3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,261467,4,Kazakhstan
