position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
12,Die With A Smile,"[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]",0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3,United States
13,Sailor Song,[1iCnM8foFssWlPRLfAbIwo],0.494,0.413,11,-10.432,1,0.0254,0.682,6.7e-05,0.193,0.273,94.938,audio_features,2262bWmqomIaJXwCRHr13j,spotify:track:2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/tracks/2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/audio-analysis/2262bWmqomIaJXwCRHr13j,211979,4,United States
14,gloria (with sza),"[2YZyLoL8N0Wb9xBt1NhZWg, 7tYKF4w9nC0nq9CsPZTHyP]",0.719,0.555,2,-9.785,0,0.27,0.22,0.0,0.127,0.413,140.07,audio_features,0wgOhYnqZKjOHr6bmdz0aN,spotify:track:0wgOhYnqZKjOHr6bmdz0aN,https://api.spotify.com/v1/tracks/0wgOhYnqZKjOHr6bmdz0aN,https://api.spotify.com/v1/audio-analysis/0wgOhYnqZKjOHr6bmdz0aN,287523,4,United States
15,"gnx (feat. hitta j3, youngthreat, peysoh)","[2YZyLoL8N0Wb9xBt1NhZWg, 50DchbKTiJU56SYmIRSJCI, 1q2nUylEqrRJkiDkXa39Mw, 27OdVby2oeFjM1C5XvC3hC]",0.75,0.556,1,-7.275,1,0.436,0.134,0.0,0.107,0.736,179.911,audio_features,3aZptNYC6Z1YoumeqZcDcQ,spotify:track:3aZptNYC6Z1YoumeqZcDcQ,https://api.spotify.com/v1/tracks/3aZptNYC6Z1YoumeqZcDcQ,https://api.spotify.com/v1/audio-analysis/3aZptNYC6Z1YoumeqZcDcQ,193539,4,United States
16,APT.,"[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]",0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,audio_features,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,169917,4,United States
17,BIRDS OF A FEATHER,[6qqNVTkY8uBg9cP3Jd7DAH],0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4,United States
18,Like Him (feat. Lola Young),"[4V8LLVI7PbaPR0K2TGSxFF, 67FB4n52MgexGQIG8s0yUH]",0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,audio_features,6jbYpRPTEFl1HFKHk1IC0m,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,https://api.spotify.com/v1/tracks/6jbYpRPTEFl1HFKHk1IC0m,https://api.spotify.com/v1/audio-analysis/6jbYpRPTEFl1HFKHk1IC0m,278015,3,United States
19,Who,[1oSPZhvZMIrWW5I41kPkkY],0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,audio_features,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4,United States
20,Timeless (with Playboi Carti),"[1Xyo4u8uXC1ZmMpatF05PJ, 699OTQXzgjhIYAHMy9RyPD]",0.769,0.722,11,-5.485,0,0.0507,0.0584,3e-06,0.111,0.57,119.973,audio_features,1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,256000,4,United States
21,Defying Gravity,"[46UMQ0cW8ToR8egkBRwAxZ, 66CXWjxzNUsdJxJ2JdwvnR]",0.31,0.303,1,-10.345,1,0.0344,0.527,0.0,0.0436,0.208,148.419,audio_features,5QMrH5nszZZR3nefIj6Mar,spotify:track:5QMrH5nszZZR3nefIj6Mar,https://api.spotify.com/v1/tracks/5QMrH5nszZZR3nefIj6Mar,https://api.spotify.com/v1/audio-analysis/5QMrH5nszZZR3nefIj6Mar,459766,4,United States
