id,label,popularity,followers,type,main_continent,mean_danceability,mean_energy,mean_loudness,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_liveness,mean_valence,mean_tempo
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,95.0,101473777.0,Artist,North America,0.5427500000000001,0.53525,-8.905125,0.0853125,0.2790375,1.125e-05,0.1319125,0.423,151.239875
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94.0,15653007.0,Artist,Asia,0.6904473684210526,0.7739868421052631,-5.105355263157895,0.04463684210526317,0.13123026315789474,2.0394736842105266e-06,0.20409210526315788,0.6921184210526317,107.49606578947368
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,77.0,410321.0,Artist,North America,0.598,0.47,-8.744,0.0496,0.617,0.0,0.505,0.879,67.086
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,85.0,10691052.0,Artist,Europe,0.336,0.627,-7.462999999999998,0.0384,0.16399999999999998,0.0,0.07079999999999999,0.35,150.27299999999997
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,88.0,4071059.0,Artist,North America,0.6966249999999999,0.6233124999999999,-5.8063125,0.03829375,0.08789374999999999,0.0,0.13150625,0.7825,119.826
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87.0,7372380.0,Artist,Asia,0.5787272727272726,0.783090909090909,-5.842181818181819,0.4603454545454545,0.40390909090909094,4.727272727272727e-06,0.3169909090909091,0.37736363636363635,136.66618181818183
38EmEgXkgK51MT2tPY0EoC,Bobby Helms,75.0,56378.0,Artist,North America,0.754,0.424,-8.463,0.0363,0.643,0.0,0.0652,0.806,119.705
5lpH0xAS4fVfLkACg9DAuM,Wham!,79.0,2859734.0,Artist,Europe,0.733,0.598,-8.227999999999998,0.027799999999999995,0.21200000000000005,4.000000000000001e-06,0.15599999999999997,0.9350000000000002,107.73199999999999
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80.0,829146.0,Artist,Oceania,0.7219999999999998,0.7059999999999997,-4.857,0.0292,0.07199999999999998,0.0,0.06699999999999998,0.5990000000000001,80.96900000000002
246dkjvS1zLTtiykXe5h60,Post Malone,91.0,45922292.0,Artist,Oceania,0.644,0.874,-4.723,0.0265,0.0113,0.0,0.227,0.753,128.017
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,90.0,11238450.0,Artist,North America,0.6159411764705882,0.8338235294117647,-4.971235294117647,0.028700000000000003,0.06995764705882353,4.2176470588235294e-05,0.19052941176470586,0.698529411764706,137.42241176470586
5j4HeCoUlzhfWtjAfM1acR,Stromae,80.0,3513085.0,Artist,North America,0.678,0.604,-7.926,0.0962,0.00465,0.000936,0.278,0.374,88.0
6e3pZKXUxrPfnUPJ960Hd9,Pomme,78.0,685736.0,Artist,North America,0.678,0.604,-7.926,0.0962,0.00465,0.000936,0.278,0.374,88.0
57nPqD7z62gDdq37US9XJR,Arcane,85.0,375843.0,Artist,North America,0.678,0.604,-7.926,0.0962,0.00465,0.000936,0.278,0.374,88.0
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,85.0,5890212.0,Artist,Oceania,0.48200000000000004,0.7569999999999999,-4.586,0.03549999999999999,0.0137,0.0016,0.143,0.12000000000000002,142.579
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,87.0,3488512.0,Artist,Europe,0.6386956521739131,0.6774130434782609,-5.165130434782609,0.05416304347826086,0.18666739130434776,9.500000000000002e-06,0.10443043478260872,0.45819565217391317,143.04934782608692
3l9G1G9MxH6DaRhwLklaf5,Oscar Maydon,88.0,3405181.0,Artist,North America,0.7056923076923076,0.7072307692307691,-6.761923076923077,0.08044615384615383,0.3867961538461539,0.0001628076923076923,0.14137692307692307,0.5341538461538462,117.52826923076925
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,91.0,12711223.0,Artist,North America,0.7192857142857142,0.6823571428571428,-6.2732142857142845,0.09251785714285712,0.4100000000000001,0.0005645357142857143,0.1054857142857143,0.5717857142857142,113.49228571428571
22wbnEMDvgVIAGdFeek6ET,Benson Boone,86.0,4010734.0,Artist,Oceania,0.46430769230769225,0.4925384615384615,-5.497769230769231,0.06191538461538461,0.1554230769230769,0.0,0.1310192307692308,0.28150000000000003,119.73284615384615
2sSGPbdZJkaSE2AbcGOACx,The Marías,80.0,1737134.0,Artist,Asia,0.705,0.339,-10.612,0.0278,0.552,0.0814,0.12,0.457,97.989
