artists,followers,genres,name,popularity,country
33qOK5uJ8AR2xuQQAhHump,3506837,,Teddy Swims,87,United Kingdom
2txHhyCwHjUEpJjWrEyqyX,4050804,chill pop,Tom Odell,80,Switzerland
1JbemQ1fPt2YmSLjAFhPBv,8412704,"latin pop, puerto rican pop",Chayanne,77,Andorra
60ZOYUFnCYEeKYsxgvPxOS,504385,"flamenco urbano, rap espanol",Cano,71,Spain
0FwnPHExlRRxEZPLAi5tmG,1018089,urbano espanol,JC Reyes,76,Spain
3rIZMv9rysU7JkLzEaC5Jp,3108438,"irish rock, modern rock, neo mellow, permanent wave, pop rock",Snow Patrol,71,Andorra
33qOK5uJ8AR2xuQQAhHump,3506837,,Teddy Swims,87,United Kingdom
60ZOYUFnCYEeKYsxgvPxOS,504385,"flamenco urbano, rap espanol",Cano,71,Spain
2CCgb0KApjfQDuTppovpf8,781394,"drill espanol, flamenco urbano, urbano espanol, urbano latino",Rvfv,75,Andorra
1bAftSH8umNcGZ0uyV7LMg,11613907,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Spain
1HY2Jd0NmPuamShAr6KMms,33135954,"art pop, dance pop, pop",Lady Gaga,92,Ukraine
4gzpq5DPGxSnKTe4SA8HAU,55083270,"permanent wave, pop",Coldplay,91,United Kingdom
6eXZu6O7nAUA5z6vLV8NKI,1095314,"alternative r&b, escape room, trap queen",Little Simz,71,Netherlands
3wcj11K77LjEY1PkEazffa,10816755,"afrobeats, dancehall, nigerian hip hop, nigerian pop",Burna Boy,80,Netherlands
0jIWKlfmD4Ew7HeVVrq03g,233632,palestinian pop,Elyanna,71,Netherlands
7vXDAI8JwjW531ouMGbfcp,8551678,"latin pop, latin viral pop, pop argentino",TINI,79,Netherlands
2V9MnjEMqwXm7sice07NQK,82082,,Diegote,57,Andorra
4kcQWQDK0u9AftVSpdrAgk,1913130,"trap argentino, trap triste",Luck Ra,77,Andorra
5TP8Ubo4jLKEi4Mw2O8fAk,1006615,previa,BM,70,Andorra
6XyY86QOPPrYVGvF9ch6wz,27864882,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93,Switzerland
4tuJ0bMpJh08umKkEXKUI5,3350263,alt z,Gracie Abrams,91,United Kingdom
1HY2Jd0NmPuamShAr6KMms,33135954,"art pop, dance pop, pop",Lady Gaga,92,Switzerland
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,United Kingdom
1iCnM8foFssWlPRLfAbIwo,591324,bedroom pop,Gigi Perez,82,Switzerland
2kS9NyuATpYwjeB93h24H5,799859,"german pop, hamburg hip hop",Nina Chuba,73,Switzerland
3eVa5w3URK5duf6eyVDbu9,8390154,k-pop,ROSÉ,86,United Kingdom
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,Ukraine
6qqNVTkY8uBg9cP3Jd7DAH,103248986,"art pop, pop",Billie Eilish,96,United Kingdom
1E8mXBWN7AXZCOPYbOky4J,412151,german hip hop,Jazeek,74,Switzerland
4iHNK0tOyZPYnBU7nGAgpQ,10704281,"dance pop, pop, urban contemporary",Mariah Carey,85,United Kingdom
5lpH0xAS4fVfLkACg9DAuM,2863452,"new romantic, new wave, new wave pop, soft rock",Wham!,80,United Kingdom
7rBed6Ya7Hwa2fXbh5btJE,197354,,LACAZETTE,73,Germany
1E8mXBWN7AXZCOPYbOky4J,412151,german hip hop,Jazeek,74,Switzerland
3CJKkU0XuElRT1z8rEtIYg,2347415,"german drill, german hip hop",Luciano,76,Switzerland
76dRoxKtDwYkgCQePok9cU,164273,german hip hop,Miksu / Macloud,70,Switzerland
0JBdTCGs111JKKYfLqOEBa,972220,"frauenrap, german hip hop, german pop",Shirin David,68,Germany
6XyY86QOPPrYVGvF9ch6wz,27864882,"alternative metal, nu metal, post-grunge, rap metal, rock",Linkin Park,93,Switzerland
3drqpTL4sQOckmAfF9i1wg,1116491,german hip hop,Summer Cem,69,Switzerland
72y6W9pGy97xTM44dwy3F6,69487,,BILLA JOE,63,Switzerland
0JBdTCGs111JKKYfLqOEBa,972220,"frauenrap, german hip hop, german pop",Shirin David,68,Germany
7vohy1W7YNLxHynG44UFjS,56035,german hip hop,Sampagne,64,Germany
22wbnEMDvgVIAGdFeek6ET,4037434,singer-songwriter pop,Benson Boone,86,United Kingdom
7GlBOeep6PqTfFi59PTUUN,4128080,indie pop,Chappell Roan,88,United Kingdom
