artists,followers,genres,name,popularity,country
1DxLCyH42yaHKGK3cl5bvG,7258191,"pop argentino, urbano latino",Maria Becerra,82,Uruguay
2x7PC78TmgqpEIjaGAZ0Oz,8106559,"argentine hip hop, bases de freestyle, trap argentino, trap latino, urbano latino",Trueno,79,Uruguay
2UZIAOlrnyZmyzt1nuXr9y,7869075,"argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino",Nicki Nicole,80,Uruguay
4kcQWQDK0u9AftVSpdrAgk,1904556,"trap argentino, trap triste",Luck Ra,77,Uruguay
1JbemQ1fPt2YmSLjAFhPBv,8406346,"latin pop, puerto rican pop",Chayanne,77,Uruguay
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Uruguay
1H6X7yhnXZg73f9bssaj1Q,130522,urbano espanol,Judeline,70,Uruguay
3UTF2no3muGdiFXVujl94i,329216,,Kapo,81,Venezuela
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Uruguay
716NhGYqD1jl2wI1Qkgq36,17017536,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",Bizarrap,82,Uruguay
4kcQWQDK0u9AftVSpdrAgk,1904556,"trap argentino, trap triste",Luck Ra,77,Uruguay
4m6ubhNsdwF4psNf3R8kwR,5832526,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",KHEA,78,Uruguay
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Uruguay
7rFHoDuiSlV0DGHxckjm89,179152,,Lia Kali,68,Argentina
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Peru
0EmeFodog0BfCgMzAIvKQp,35631318,"colombian pop, dance pop, latin pop, pop",Shakira,88,Venezuela
7yIp2QRLkQ6loIrupimiri,40960,cumbia pop,Pinky SD,78,Argentina
2Mt2vBBEckrvXtg0JldwZ0,178147,,Un Poco de Ruido,78,Argentina
5Qv1EsPany9Fc3yyCJnoxw,195821,cumbia santafesina,Uriel Lozano,71,Argentina
7CvTknweLr9feJtRGrpDBy,1184551,reggaeton chileno,FloyyMenor,84,Uruguay
2qWK8K2Jfh67UqtwY8tCW6,3396522,"argentine hip hop, trap argentino",YSY A,77,Uruguay
7fT2Me47PQ8T7954PKrcwR,1524000,"argentine hip hop, trap argentino, trap triste",Bhavi,70,Uruguay
19HM5j0ULGSmEoRcrSe5x3,5336010,"trap argentino, trap latino, urbano latino",Milo j,83,Uruguay
2eXWodjj5K1vVq2CSjl036,219203,,DobleP,68,Argentina
5Zk54wioCsUtq5ggUWXqlK,48777,"previa, rkt",Tuti DJ,54,Argentina
0sE8WmITfzXJwYGdtbo8B0,57588,rkt,Pereiraremix,57,Argentina
1bAftSH8umNcGZ0uyV7LMg,11588541,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino",Duki,86,Paraguay
4kcQWQDK0u9AftVSpdrAgk,1904556,"trap argentino, trap triste",Luck Ra,77,Argentina
5TP8Ubo4jLKEi4Mw2O8fAk,1005159,previa,BM,70,Uruguay
