artists,followers,genres,name,popularity,country
5yviYTy79A8vuWF8iR6nPS,30930,,SKY,51,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
471CLfthkGwHrnegKOcTbx,52027,,Lazaro,52,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
0eLoiWLwWeaHGNkYke5G1k,22736,rap maroc,Xcep,40,Morocco
4PgPJfNYhFaHAV5C5dFhYS,459683,rap maroc,Smallx,47,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
3LvwPiJQJ0da0GurKMToV0,2089618,trap italiana,Baby Gang,75,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
7vg7wkmGzMEM7p2ZkMPHJS,273605,rap maroc,Figoshin,54,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
5Et8bRmkENeaA7SPwj1OxL,199174,"rap maroc, trap maroc",Shobee,46,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
7LC7LQ1f1CzaRLobFcblZN,940134,rap maroc,Snor,50,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
0rqQfmTWtmxzlrNmnruQXS,82114,rap francais nouvelle vague,Khali,56,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
3JsHnjpbhX4SnySpvpa9DK,19204295,"j-division, korean ost",V,84,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
5CtPAGoxpJ4yLJLx6CSrO8,199342,"cloud rap francais, french hip hop, pop urbaine, rap conscient, rap francais",Zamdane,61,Morocco
76wDwepIombkHCdm0kas1h,104234,"moroccan pop, rap belge",Tawsen,55,Morocco
2XgBaGUId4RuYzvXYEKikZ,156762,"moroccan pop, rap maroc",Ayoub Anbaoui,51,Morocco
2g8Pu5gVtDpkYGsP3RLepJ,1077564,rap maroc,Draganov,58,Morocco
2QtIVRuCdO2a4RWyoF4ayb,346237,rai,Bilel Tacchini,55,Morocco
5k63RPpkbbyVuufLXS2GTe,113111,drill espanol,Delarue,54,Morocco
4az97MtWmBQ5Db3GfDh9j9,3691217,"drill espanol, urbano espanol",Morad,80,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
0rqQfmTWtmxzlrNmnruQXS,82114,rap francais nouvelle vague,Khali,56,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
3kd62SrugthLOzen7XmzG6,62652,moroccan pop,Douaa Lahyaoui,50,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
1oSPZhvZMIrWW5I41kPkkY,9648243,k-pop,Jimin,88,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
3IW7ScrzXmPvZhB27hmfgy,10671986,"french hip hop, pop urbaine, rap marseille",Jul,82,Morocco
1H0D7p5aN8tGG8DPLt0Nbv,795679,"arabic hip hop, moroccan pop, rap maroc",Lbenj,52,Morocco
3IRAzpoLeNDGv7kqwNK3bp,617151,"moroccan pop, rap maroc",7-Toun,54,Morocco
0bmKQDkU4J3gUykZS8tb6v,1130234,"arabic hip hop, north moroccan rap, rap maroc",LFERDA,57,Morocco
25eYSizNX4BK5ZtqAq8pE8,358442,"arab pop, moroccan pop",Nouamane Belaiachi,47,Morocco
6g4L5CJkiMINgAzUQsb7fr,71598,trap maroc,Hassa1,49,Morocco
3Fi4gBbVvIHrqEG9TGwRTC,17922,,Flack,44,Morocco
6L7RfKlbIHQPxKbLizN9ts,30276,,Ali S,47,Morocco
4vyibjuGePnrB7BzbHkA6u,524271,rap maroc,L'morphine,57,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
5gs4Sm2WQUkcGeikMcVHbh,1413850,"belgian hip hop, cloud rap francais, french hip hop, pop urbaine, rap belge",Hamza,74,Morocco
2loEsOijJ6XiGzWYFXMIRk,225767,melodic house,Adam Port,77,Morocco
6XjgqvaVLUib6lCerbZrYD,13017,,Stryv,75,Morocco
26WKgv73kRHD0gEDKD1i8j,359273,melodic house,Keinemusik,77,Morocco
2yyaNPcdxZcn4iutCcLMaC,1356,,Orso,75,Morocco
37lTKHi901VnwngQ7C8noT,9387,,Malachiii,75,Morocco
1wAtSe79kItIb9nf5EhI2Q,1239687,"french hip hop, pop urbaine, rap francais",Niro,66,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
3IRAzpoLeNDGv7kqwNK3bp,617151,"moroccan pop, rap maroc",7-Toun,54,Morocco
5Do9u0GoN4gFn6Nk8NGDhh,934161,rap maroc,Stormy,60,Morocco
7douYKOyzk9ZRvGFu9UOnm,375010,rap maroc,Mons,49,Morocco
5Do9u0GoN4gFn6Nk8NGDhh,934161,rap maroc,Stormy,60,Morocco
4BFLElxtBEdsdwGA1kHTsx,3088328,"arabic hip hop, rap maroc",ElGrandeToto,74,Morocco
7DBIKXxSh2BMPqSN7UB4rS,504734,"arabic hip hop, rap maroc, trap maroc",Madd,59,Morocco
0bmKQDkU4J3gUykZS8tb6v,1130234,"arabic hip hop, north moroccan rap, rap maroc",LFERDA,57,Morocco
3eVa5w3URK5duf6eyVDbu9,8390154,k-pop,ROSÉ,86,Morocco
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,South Africa
3JsHnjpbhX4SnySpvpa9DK,19204295,"j-division, korean ost",V,84,Morocco
7LC7LQ1f1CzaRLobFcblZN,940134,rap maroc,Snor,50,Morocco
1HY2Jd0NmPuamShAr6KMms,33135954,"art pop, dance pop, pop",Lady Gaga,92,South Africa
0du5cEVh5yTK9QJze8zA0C,63309572,"dance pop, pop",Bruno Mars,96,Morocco
1bNjWBFWsAAzZSR59lRdpR,5033877,amapiano,Kabza De Small,67,South Africa
2mF7ygWz9oyJ3L6ZPWlZVH,551632,"amapiano, sgija, underground amapiano",Vigro Deep,56,South Africa
0mMqD2uqwvCjFvlzo6ayGi,2716991,amapiano,DJ Maphorisa,69,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
6WQFTzqYHmh8Ph2X0L0QLQ,1587680,amapiano,Young Stunna,60,South Africa
1HGyQR41EokAZE5Dl4PtYc,44059,,Blaq Major,54,South Africa
3zO4VnpgPzQAE6ibTievv1,1877,,BLESS THE GENTLEMAN,51,South Africa
6YbUZ7rG3diOQFbAq8cySD,2343,,DJ KAP,51,South Africa
2tqMDvoyXVbN7uF4ObOeJX,295039,maskandi,Mthandeni SK,57,South Africa
5kwZB1xNLgB3lln1JGS2B9,712318,bolobedu house,MaWhoo,59,South Africa
3qqJxbB40F5AmjBiO4akVa,13576,,Mr Pilato,56,South Africa
4hADccnhJWKgtjTKues1oy,4484,,Ego Slimflow,54,South Africa
3U6tzzUuiMZD64IPkutbjM,12564,,Tebogo G Mashego,54,South Africa
1x0kR06ROuVi1aLwPuaZ7J,44,,SJE Konka,54,South Africa
2GJMSZ7M3D0KyyKRhYgWju,1130208,"amapiano, barcadi",Focalistic,59,South Africa
0mMqD2uqwvCjFvlzo6ayGi,2716991,amapiano,DJ Maphorisa,69,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
5n0o0t9wgg6uzHqfVd2Yr1,51674,,CowBoii,60,South Africa
0fs9otT9TtwXUOcFXZomZY,187183,"afro house, south african house",Caiiro,57,South Africa
3flcjKgRCeBVZTR8n8iShE,780630,"afro soul, south african pop",Ami Faku,57,South Africa
5kmceQl1Y7lveTVbcy5ycD,675541,gqom,Dlala Thukzin,58,South Africa
1dllQgzSDUNbXbtk5INbhj,1154,,Zeh McGeba,48,South Africa
6jUYsFkr46ErYnMV82HgQ8,1395,,MK Productions,53,South Africa
13TUuvzi6FAkiA5F9MiYF8,20764,amapiano,Casswell P,50,South Africa
2SuwWqS2g4w2GSE4lxD1UM,97982,"afro soul, south african pop",Nobuhle,51,South Africa
5ln4EWpJqQZEWXAlSNTtVz,132620,sepedi pop,Kharishma,57,South Africa
6c4AisSoKVYdeivUhofn6P,2676,,Ba Bethe Gashoazen,49,South Africa
6Z6xrqezBTUUDnCinhPwCO,112636,,2Point1,49,South Africa
7BZeoHymLQ7WC1Vl7gkS5g,850,,BelloM,45,South Africa
3ZdMTEKhhs4Rl7qQXv4vUT,1593,,Epic DJ,46,South Africa
0APf0XKCd2289zoD4wzroe,15,,DJ Seneath,45,South Africa
2xopv1IOZfIPbbVuHDylEL,27,,X-Morizo,46,South Africa
6k8odn7NzzTT4K3NBNtsfV,945006,amapiano,Felo Le Tee,55,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
5JyEgson2YVsJT0fNGroWn,38035,sgija,Thabza Tee,50,South Africa
0mMqD2uqwvCjFvlzo6ayGi,2716991,amapiano,DJ Maphorisa,69,South Africa
1YO25RWxpZ2Pvg82Bs4ING,96299,amapiano,Djy Biza,56,South Africa
1apU1xLioEcDVmYQmmbXD8,16359,,Blacko SA,49,South Africa
5MJ5f1XKD9yu7aWfG8OGjz,1546978,"amapiano, barcadi",Mellow & Sleazy,64,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
7CAuIrM6rFLrIgisYOV0Fs,164824,,Usimamane,58,South Africa
4RfOLIFy2xEmlWzXEVmLJn,1800487,"afro soul, south african pop",Sjava,60,South Africa
2iN5MhOgkenO5FtkPtEVAF,752797,amapiano,Wanitwa Mos,56,South Africa
4AnNB3lPD0Sv7ziKVHqI66,579513,amapiano,Nkosazana Daughter,61,South Africa
523y9KSneKh6APd1hKxLuF,609442,"bolobedu house, south african house",Master KG,62,South Africa
6sNKQgLUy4LVNEX3r1kG1A,1502206,"afro soul, kasi rap, south african hip hop, south african pop",Big Zulu,57,South Africa
5m5lgddffBHA2pv0m5E2Ro,259062,amapiano,Zee Nxumalo,57,South Africa
1W5wfiEUdPebJdwmyglKP4,111844,amapiano,Cyfred,48,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
0RSqcZGU4Kf01zKcn4JhiE,16436,,Mawelele,47,South Africa
3Px6IenueysHsgCQf9xFVr,903280,"afro soul, kasi rap, south african hip hop, south african pop",Kwesta,54,South Africa
1ELUrmWBlXkqVabjVincQ6,427952,amapiano,Bassie,52,South Africa
1WyQuSMk2VrDyfYfdfa4w6,9444,sgija,M-Touch,47,South Africa
6V0AnQuqPD8zkTZKbO1pbk,7699,,Ranger,49,South Africa
0lxNEAFHu0uIMSTWMiKV3q,5307,,Amaza,47,South Africa
5vFGtc23dtvt3f7FSK7vtg,650786,amapiano,LeeMcKrazy,64,South Africa
6Wqpl1YTjgy5TiTluzFzjx,354525,amapiano,Tman Xpress,57,South Africa
0sN5oRkFliiyjSNqPIEjML,13303,south african trap,DoouShii,47,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
5MJ5f1XKD9yu7aWfG8OGjz,1546978,"amapiano, barcadi",Mellow & Sleazy,64,South Africa
2J9OgoroujUr9FiiT40sqc,22814,,Tycoon,49,South Africa
3vg62RNNbcEtTGVRHzIBdi,395,,Sly,46,South Africa
1bNjWBFWsAAzZSR59lRdpR,5033877,amapiano,Kabza De Small,67,South Africa
5M9mFjVaPT2T1HFYFFSoCt,306628,"afro soul, gqom, south african pop",Dladla Mshunqisi,49,South Africa
3yWkz47Z8kE6z1xW6rjkAl,58705,gqom,Goldmax,52,South Africa
2oA819q93vu53ZDkCJYdbN,53615,amapiano,TNK MusiQ,47,South Africa
5vFGtc23dtvt3f7FSK7vtg,650786,amapiano,LeeMcKrazy,64,South Africa
0CPfPl6Fy7ueqMoxjZjmYb,2396,,Seun1401,47,South Africa
1YA6d3F7LilOsKSGYSB4Nm,457,,The Exclusive SA,43,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
3YOKEbNmcMxvIDpZxw4jvn,1921,,Kabelo Sings,48,South Africa
6xcF2N2Z4NFVEkLCZluCLC,25990,,Bontle Smith,48,South Africa
2CsKNR9HBBs3bAswmPz825,38489,,2woshort,46,South Africa
16IdDbuertDHTGF9Si2eCN,2638,,Stompiiey,45,South Africa
2NJ4G5sIHIfma9PF2MO0yi,9713,,Khathapillar,46,South Africa
6KSYSas66s64PZDOnb6knq,17465,,Sol Phenduka,46,South Africa
0w5arbommuYnUMeXetmv17,14935,,Smash SA,50,South Africa
2Fotv9MULwrtOPORxgtRui,1197,,Kamoh Xaba,46,South Africa
2tqMDvoyXVbN7uF4ObOeJX,295039,maskandi,Mthandeni SK,57,South Africa
2KYeDbDn8hr0auXnbpKfvs,3924,,Lwah Ndlunkulu,43,South Africa
5kmceQl1Y7lveTVbcy5ycD,675541,gqom,Dlala Thukzin,58,South Africa
1raznef8uIDK0SAlPabb86,27756,gqom,Funky Qla,49,South Africa
5m5lgddffBHA2pv0m5E2Ro,259062,amapiano,Zee Nxumalo,57,South Africa
6jUYsFkr46ErYnMV82HgQ8,1395,,MK Productions,53,South Africa
241x5prRiXJmnk4vSGEHcr,60677,"maskandi, sepedi pop",Mjolisi,47,South Africa
4iKk928O7ApC51cf4q2mpO,2217,,Mnqobi yazo,43,South Africa
7lpGctutZNeN7UKIyEFbPg,85181,maskandi,Sminofu,56,South Africa
6qqNVTkY8uBg9cP3Jd7DAH,103248986,"art pop, pop",Billie Eilish,96,South Africa
5n0o0t9wgg6uzHqfVd2Yr1,51674,,CowBoii,60,South Africa
5MJ5f1XKD9yu7aWfG8OGjz,1546978,"amapiano, barcadi",Mellow & Sleazy,64,South Africa
3S4T8XtipStwl34odXn1YS,326335,,Scotts Maphuma,67,South Africa
4mexy8G8bBE7SBuAzTBLYr,14748,,Eltee,51,South Africa
5rnKcmn5XTpbD9OPEsrV1s,2620,,Novatron,48,South Africa
3aznFYhXZNLiZYfF2nIt6K,58935,maskandi,Umafikizolo,49,South Africa
0bQK92L70k52lgVCQX0mNp,1711,,Umashotana,43,South Africa
5EVpgXduYKQyggrs93bPby,28324,,Msongi,48,South Africa
3i9UjIGeZT2cRyltQrr8nj,225775,"afro soul, south african pop",Cici,50,South Africa
4QkKUb73NVonTlAZaShsuY,834558,amapiano,Sir Trill,53,South Africa
0DnvMgwUAfLV06uffraoeJ,429,,Dot Mega,45,South Africa
2krUPP3nMYoF1C5WX3yB7J,482110,"afro soul, south african pop",Q Twins,49,South Africa
1HGyQR41EokAZE5Dl4PtYc,44059,,Blaq Major,54,South Africa
68McnNC9twEtiynOAJRRgZ,840150,"amapiano, barcadi",Uncle Waffles,55,South Africa
0UDlBvCj6BwV8uYLf8zzKS,96137,,Royal MusiQ,53,South Africa
4IZr8UpEiuTNDf9a5atoco,4726,,OHP Sage,52,South Africa
22Bl1QCNEZvpqVwRPYscE4,512103,amapiano,Pcee,55,South Africa
