artists,followers,genres,name,popularity,country
790FomKkXshlbRYZFtlgla,52495430,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91,Panama
3eVa5w3URK5duf6eyVDbu9,8331839,k-pop,ROSÉ,86,Panama
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Panama
790FomKkXshlbRYZFtlgla,52495430,"reggaeton, reggaeton colombiano, urbano latino",KAROL G,91,Nicaragua
12GqGscKJx3aE4t07u7eVZ,17699141,"corridos tumbados, sad sierreno",Peso Pluma,93,Panama
6XkjpgcEsYab502Vr1bBeW,5368511,musica chihuahuense,Grupo Frontera,87,Nicaragua
4q3ewBCX7sLwd24euuV69X,87431757,"reggaeton, trap latino, urbano latino",Bad Bunny,96,Nicaragua
5Y3MV9DZ0d87NnVm56qSY1,5468992,"trap argentino, trap latino, urbano latino",Tiago PZK,80,Costa Rica
06Q5VlSAku57lFzyME3HrM,4052740,cumbia pop,Ke Personajes,78,Costa Rica
7iK8PXO48WeuP03g8YR51W,17456320,"reggaeton, trap latino, urbano latino",Myke Towers,90,Panama
7j6DKwmjbxvpQO8h914uEz,3291559,"reggaeton, trap colombiano, trap latino, urbano latino",Ryan Castro,82,Honduras
12GqGscKJx3aE4t07u7eVZ,17699141,"corridos tumbados, sad sierreno",Peso Pluma,93,Nicaragua
18dspUI6gqabm5XCC2RcUD,152808,reggaeton colombiano,SOG,71,Honduras
6XkjpgcEsYab502Vr1bBeW,5368511,musica chihuahuense,Grupo Frontera,87,Honduras
66ihevNkSYNzRAl44dx6jJ,13888823,"corrido, musica mexicana, sad sierreno, sierreno",Carin Leon,87,Honduras
0tmwSHipWxN12fsoLcFU3B,14313708,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Manuel Turizo,84,Panama
2LRoIwlKmHjgvigdNGBHNo,14984288,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",Feid,92,Nicaragua
17SY5q1CMOZJBRuPcKWwPI,176287,"trap latino, urbano latino",J Abdiel,71,Panama
54seKvtsZauR1iauN0ptpo,314448,"trap latino, urbano latino",De La Rose,79,Panama
6TKygPpVT29oGUogu4J9Ec,244886,"trap boricua, trap latino, urbano latino",Yan Block,78,Panama
4s6Xg38sbqh4xpf4OqhVUK,330572,"trap latino, urbano latino",iZaak,75,Panama
2cPqdH7XMvwaBJEVjheH8g,4464580,"reggaeton, trap latino, urbano latino",Jay Wheeler,80,Panama
2LRoIwlKmHjgvigdNGBHNo,14984288,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino",Feid,92,Nicaragua
3qsKSpcV3ncke3hw52JSMB,3593900,"trap latino, urbano latino",Young Miko,80,El Salvador
7iK8PXO48WeuP03g8YR51W,17456320,"reggaeton, trap latino, urbano latino",Myke Towers,90,Nicaragua
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,Panama
4PPoI9LuYeFX8V674Z1R6l,11442193,"mariachi, ranchera",Vicente Fernández,79,Nicaragua
6XkjpgcEsYab502Vr1bBeW,5368511,musica chihuahuense,Grupo Frontera,87,Honduras
5lwmRuXgjX8xIwlnauTZIP,23294365,"bachata, latin hip hop, latin pop, trap latino, urbano latino",Romeo Santos,86,Nicaragua
1vyhD5VmyZ7KMfW5gqLgo5,37463468,"reggaeton, reggaeton colombiano, trap latino, urbano latino",J Balvin,88,Nicaragua
4q3ewBCX7sLwd24euuV69X,87431757,"reggaeton, trap latino, urbano latino",Bad Bunny,96,Nicaragua
6XkjpgcEsYab502Vr1bBeW,5368511,musica chihuahuense,Grupo Frontera,87,Honduras
0tmwSHipWxN12fsoLcFU3B,14313708,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Manuel Turizo,84,Costa Rica
1qto4hHid1P71emI6Fd8xi,9146086,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",Aventura,82,Panama
2jSGzJw0ebJLu7OLVSOcBP,5273213,"reggaeton, trap latino, urbano latino",Plan B,81,Panama
1qto4hHid1P71emI6Fd8xi,9146086,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",Aventura,82,Nicaragua
1r4hJ1h58CWwUQe3MxPuau,35181234,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Maluma,88,Nicaragua
3E12tRURRvPfHz0hAMCFYc,445692,"trap boricua, trap latino, urbano latino",Omar Courtz,81,Nicaragua
54seKvtsZauR1iauN0ptpo,314448,"trap latino, urbano latino",De La Rose,79,Nicaragua
4ncaw2cfA3Wlly1tBD2eWt,433195,dembow,Yailin la Mas Viral,66,Dominican Republic
5O5qjKWtduHgXxeEYbbSxz,5652,,Puyalo Pantera,60,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,El Salvador
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
0kwa5ELbi8xm7vbwywoLtg,3516,,Kuv507,64,El Salvador
0c0Yh1P4gMYmDwebhyzIDv,3892,,Latinnites Music,65,El Salvador
4WzBqbc7fxl2y8XrznMSqf,6615,,Candelita,48,Dominican Republic
0TnOYISbd1XYRBk9myaseg,11020986,"dance pop, miami hip hop, pop",Pitbull,86,Dominican Republic
3OcvS8PzSGYMBvLdzY6g3e,5206322,"colombian pop, vallenato, vallenato moderno",Silvestre Dangond,69,Dominican Republic
6NVVcu2j3GlTJwVUnNh27B,36,,Jose iglesia,47,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
03A4rAqMAxVwjkRIPZxZ9Y,1921,reggaeton chileno,Sacra Mr Melody,48,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
0kwa5ELbi8xm7vbwywoLtg,3516,,Kuv507,64,Dominican Republic
0c0Yh1P4gMYmDwebhyzIDv,3892,,Latinnites Music,65,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
4VVEpEhC8NcR7AqNEds42U,652855,"dembow, rap dominicano",Chimbala,69,Dominican Republic
7w0t8O8nbirfLvGJgKK0xk,64787,"dembow, dembow dominicano",Leo RD,62,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
0c0Yh1P4gMYmDwebhyzIDv,3892,,Latinnites Music,65,Dominican Republic
11oaKJc8rsz6x8YPVjca4X,13373,,Engel Montaz,72,Dominican Republic
4ncaw2cfA3Wlly1tBD2eWt,433195,dembow,Yailin la Mas Viral,66,Dominican Republic
3Z8i7zAQr7lPwH7pUQnlXJ,123883,dembow dominicano,Kreizy k,55,Dominican Republic
4ncaw2cfA3Wlly1tBD2eWt,433195,dembow,Yailin la Mas Viral,66,Dominican Republic
5O5qjKWtduHgXxeEYbbSxz,5652,,Puyalo Pantera,60,Dominican Republic
7eUSP77ZhnXleSue48JWiT,20472,dominican pop,El Blachy,51,Dominican Republic
5rlinmh5Y0p4zfMY5qngpX,27443,"dembow, trap dominicano",Diamond la Mafia,45,Dominican Republic
4UcGO4hOufILa9qGd3KOCo,215592,"dembow dominicano, trap dominicano",La Perversa,55,Dominican Republic
4lpMINWZQ39N9joHJFmgDE,5085,,Loco Prieto Oficial,46,Dominican Republic
30TfJAUX5Aeh7qKjyndmsO,9622,dembow dominicano,Mapa Negro,52,Dominican Republic
2rMFPjySMqkgBajkLKL6zo,223686,dembow dominicano,Lomiiel,68,Dominican Republic
