artists,followers,genres,name,popularity,country
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,New Zealand
3eVa5w3URK5duf6eyVDbu9,8331839,k-pop,ROSÉ,86,Australia
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Australia
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,Australia
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,Australia
1iCnM8foFssWlPRLfAbIwo,574714,bedroom pop,Gigi Perez,82,Australia
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,Australia
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,Australia
3y2cIKLjiOlp1Np37WiUdH,829146,"modern country pop, pop rap",Shaboozey,80,Australia
22wbnEMDvgVIAGdFeek6ET,4010734,singer-songwriter pop,Benson Boone,86,Australia
33qOK5uJ8AR2xuQQAhHump,3488512,,Teddy Swims,87,New Zealand
7GlBOeep6PqTfFi59PTUUN,4071059,indie pop,Chappell Roan,88,New Zealand
2FXC3k01G6Gw61bmprjgqS,8109432,"irish singer-songwriter, modern rock, pop, pov: indie",Hozier,86,Australia
08GQAI4eElDnROBrJRGE0X,12364588,"album rock, classic rock, rock, soft rock, yacht rock",Fleetwood Mac,83,Australia
1Xyo4u8uXC1ZmMpatF05PJ,95411178,"canadian contemporary r&b, canadian pop, pop",The Weeknd,96,Australia
699OTQXzgjhIYAHMy9RyPD,12395960,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,Australia
246dkjvS1zLTtiykXe5h60,45922292,"dfw rap, melodic rap, pop, rap",Post Malone,91,Australia
4oUHIQIBe0LHzYfvXNW4QM,11238450,contemporary country,Morgan Wallen,90,Australia
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,Australia
6qqNVTkY8uBg9cP3Jd7DAH,103084200,"art pop, pop",Billie Eilish,96,Australia
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,Australia
7Ez6lTtSMjMf2YSYpukP1I,264069,,Dasha,76,Australia
74KM79TiuVKeVCqs8QtB0B,15653007,pop,Sabrina Carpenter,94,Australia
4tuJ0bMpJh08umKkEXKUI5,3296708,alt z,Gracie Abrams,91,Australia
4V8LLVI7PbaPR0K2TGSxFF,18061113,"hip hop, rap","Tyler, The Creator",94,New Zealand
20wkVLutqVOYrc0kxFs7rA,7372380,canadian contemporary r&b,Daniel Caesar,87,Australia
3bO19AOone0ubCsfDXDtYt,831041,singer-songwriter pop,Myles Smith,80,Australia
1WaFQSHVGZQJTbf0BdxdNo,770146,chill abstract hip hop,Tommy Richman,78,Australia
7GlBOeep6PqTfFi59PTUUN,4071059,indie pop,Chappell Roan,88,Australia
60df5JBRRPcnSpsIMxxwQm,2346644,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",Otis Redding,74,New Zealand
40ZNYROS4zLfyyBSs2PGe2,5606988,classic oklahoma country,Zach Bryan,90,Australia
0Y5tJX1MQlPlqiwlOH1tJY,34910223,"rap, slap house",Travis Scott,94,Australia
699OTQXzgjhIYAHMy9RyPD,12395960,"atl hip hop, plugg, pluggnb, rage rap, rap",Playboi Carti,90,Australia
0du5cEVh5yTK9QJze8zA0C,63153139,"dance pop, pop",Bruno Mars,96,Australia
2sil8z5kiy4r76CRTXxBCA,3018497,"neo mellow, permanent wave, pop rock, post-grunge",The Goo Goo Dolls,77,Australia
33qOK5uJ8AR2xuQQAhHump,3488512,,Teddy Swims,87,Australia
2RQXRUsr4IW1f3mKyKsy4B,3601728,"pov: indie, singer-songwriter pop",Noah Kahan,86,Australia
22wbnEMDvgVIAGdFeek6ET,4010734,singer-songwriter pop,Benson Boone,86,Australia
3IYUhFvPQItj6xySrBmZkd,7142341,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock",Creedence Clearwater Revival,82,New Zealand
3jNkaOXasoc7RsxdchvEVq,1065889,"dancefloor dnb, drum and bass, uk dance",Chase & Status,73,New Zealand
2SrSdSvpminqmStGELCSNd,3013558,"grime, uk hip hop",Stormzy,73,New Zealand
0rvjqX7ttXeg3mTy8Xscbt,5843043,"album rock, classic rock, hard rock, mellow gold, rock, soft rock",Journey,76,New Zealand
4gzpq5DPGxSnKTe4SA8HAU,55022595,"permanent wave, pop",Coldplay,91,Australia
0L8ExT028jH3ddEcZwqJJ5,21686127,"alternative rock, funk metal, funk rock, permanent wave, rock",Red Hot Chili Peppers,84,New Zealand
40ZNYROS4zLfyyBSs2PGe2,5606988,classic oklahoma country,Zach Bryan,90,Australia
70kkdajctXSbqSMJbQO424,1508348,"classic texas country, contemporary country, country dawn",Kacey Musgraves,77,Australia
