66,Grenada,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
67,Guatemala,Top 50 - Guatemala,37i9dQZEVXbLy5tBFyQvd4,spotify,Spotify
68,Guinea,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
69,Guinea-Bissau,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
70,Guyana,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
71,Haiti,None,None,None,None
72,Honduras,Top 50 - Honduras,37i9dQZEVXbJp9wcIM9Eo5,spotify,Spotify
73,Hungary,Top 50 - Hungary,37i9dQZEVXbNHwMxAkvmF8,spotify,Spotify
74,Iceland,Top 50 - Iceland,37i9dQZEVXbKMzVsSGQ49S,spotify,Spotify
75,India,Top 50 - India,37i9dQZEVXbLZ52XmnySJg,spotify,Spotify
76,Indonesia,Top 50 - Indonesia,37i9dQZEVXbObFQZ3JLcXt,spotify,Spotify
77,Iran,None,None,None,None
78,Iraq,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
79,Ireland,Top 50 - Ireland,37i9dQZEVXbKM896FDX8L1,spotify,Spotify
80,Israel,Top 50 - Israel,37i9dQZEVXbJ6IpvItkve3,spotify,Spotify
81,Italy,Top 50 - Italy,37i9dQZEVXbIQnj7RRhdSX,spotify,Spotify
82,Jamaica,None,None,None,None
83,Japan,Top 50 - Japan,37i9dQZEVXbKXQ4mDTEBXq,spotify,Spotify
84,Jordan,None,None,None,None
85,Kazakhstan,Top 50 - Kazakhstan,37i9dQZEVXbM472oKPNKzS,spotify,Spotify
86,Kenya,None,None,None,None
87,Kiribati,None,None,None,None
88,"Korea, North",Top 50 - South Korea,37i9dQZEVXbNxXF4SkHj9F,spotify,Spotify
89,"Korea, South",Top 50 - South Korea,37i9dQZEVXbNxXF4SkHj9F,spotify,Spotify
90,Kosovo,None,None,None,None
91,Kuwait,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
92,Kyrgyzstan,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
93,Laos,Top 50 - Thailand,37i9dQZEVXbMnz8KIWsvf9,spotify,Spotify
94,Latvia,Top 50 - Latvia,37i9dQZEVXbJWuzDrTxbKS,spotify,Spotify
95,Lebanon,None,None,None,None
96,Lesotho,Top 50 - Philippines,37i9dQZEVXbNBz9cRCSFkY,spotify,Spotify
97,Liberia,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
98,Libya,Top 50 - Italy,37i9dQZEVXbIQnj7RRhdSX,spotify,Spotify
99,Liechtenstein,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
100,Lithuania,Top 50 - Lithuania,37i9dQZEVXbMx56Rdq5lwc,spotify,Spotify
101,Luxembourg,Top 50 - Luxembourg,37i9dQZEVXbKGcyg6TFGx6,spotify,Spotify
102,Madagascar,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
103,Malawi,None,None,None,None
104,Malaysia,Top 50 - Malaysia,37i9dQZEVXbJlfUljuZExa,spotify,Spotify
105,Maldives,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
106,Mali,None,None,None,None
107,Malta,None,None,None,None
108,Marshall Islands,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
109,Mauritania,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
110,Mauritius,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
111,Mexico,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
112,Micronesia,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
113,Moldova,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
114,Monaco,None,None,None,None
115,Mongolia,None,None,None,None
116,Montenegro,None,None,None,None
117,Morocco,Top 50 - Morocco,37i9dQZEVXbJU9eQpX8gPT,spotify,Spotify
118,Mozambique,Top 50 - Global,37i9dQZEVXbMDoHDwVN2tF,spotify,Spotify
119,Myanmar,None,None,None,None
120,Namibia,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
121,Nauru,Top 50 - USA,37i9dQZEVXbLRQDuF5jeBp,spotify,Spotify
122,Nepal,None,None,None,None
123,Netherlands,Top 50 - Netherlands,37i9dQZEVXbKCF6dqVpDkS,spotify,Spotify
124,New Zealand,Top 50 - New Zealand,37i9dQZEVXbM8SIrkERIYl,spotify,Spotify
125,Nicaragua,Top 50 - Nicaragua,37i9dQZEVXbISk8kxnzfCq,spotify,Spotify
126,Niger,Hot Hits Naija,37i9dQZF1DWZCOSaet9tpB,spotify,Spotify
127,Nigeria,Hot Hits Naija,37i9dQZF1DWZCOSaet9tpB,spotify,Spotify
128,North Macedonia,Top 50 - Mexico,37i9dQZEVXbO3qyFxbkOE1,spotify,Spotify
129,Norway,Top 50 - Norway,37i9dQZEVXbJvfa0Yxg7E7,spotify,Spotify
130,Oman,TOP 50 AFRICANA,1FSixKqyc4UxiXaF8wzrzT,gereb6xacm05i8csgbqe2xzm3,Stretch Hold Music Group
131,Pakistan,Top 50 - Pakistan,37i9dQZEVXbJkgIdfsJyTw,spotify,Spotify
