Source,Target,Weight
5Y3MV9DZ0d87NnVm56qSY1,Uruguay,3
7FNnA9vBm6EKceENgCGRMb,Uruguay,1
1JbemQ1fPt2YmSLjAFhPBv,Uruguay,1
60ZOYUFnCYEeKYsxgvPxOS,Spain,2
3rIZMv9rysU7JkLzEaC5Jp,Andorra,1
33qOK5uJ8AR2xuQQAhHump,Switzerland,3
2CCgb0KApjfQDuTppovpf8,Andorra,2
1bAftSH8umNcGZ0uyV7LMg,Uruguay,5
1HY2Jd0NmPuamShAr6KMms,United Kingdom,1
4gzpq5DPGxSnKTe4SA8HAU,United Kingdom,1
6eXZu6O7nAUA5z6vLV8NKI,Netherlands,1
3wcj11K77LjEY1PkEazffa,Netherlands,1
0jIWKlfmD4Ew7HeVVrq03g,Netherlands,1
7vXDAI8JwjW531ouMGbfcp,Netherlands,1
2V9MnjEMqwXm7sice07NQK,Andorra,1
4kcQWQDK0u9AftVSpdrAgk,Uruguay,6
5TP8Ubo4jLKEi4Mw2O8fAk,Uruguay,2
7iK8PXO48WeuP03g8YR51W,Uruguay,3
7FNnA9vBm6EKceENgCGRMb,Ukraine,1
2OhUNb01gLwygOizYvTm0e,Uruguay,3
2BTS8Np1YzPQuXjgdlqsBB,Uruguay,2
55ru5B05MMBunM1tvH7Di6,Uruguay,3
0AqlFI0tz2DsEoJlKSIiT9,Spain,1
1FxPMQ9A0882eNDx3ZkD6B,Argentina,1
6Gsh7oJoJ5EQUuQk0EhfWL,Argentina,1
1DxLCyH42yaHKGK3cl5bvG,Uruguay,3
0ZCO8oVkMj897cKgFH7fRW,Uruguay,1
0AqlFI0tz2DsEoJlKSIiT9,Paraguay,1
06Q5VlSAku57lFzyME3HrM,Uruguay,1
4oZolC0sCwCAKqsNXfRlVS,Uruguay,2
5CiGnKThu5ctn9pBxv7DGa,Uruguay,1
7yIp2QRLkQ6loIrupimiri,Argentina,5
2Mt2vBBEckrvXtg0JldwZ0,Argentina,5
5Qv1EsPany9Fc3yyCJnoxw,Argentina,4
6HTUcOExehqydqa7C3usAa,Uruguay,1
5Y3MV9DZ0d87NnVm56qSY1,Peru,1
60XHOAhvEBiV6BGBOv8ClM,Uruguay,1
19HM5j0ULGSmEoRcrSe5x3,Uruguay,2
2UZIAOlrnyZmyzt1nuXr9y,Uruguay,2
