Id,Label,Popularity,Followers
2Mt2vBBEckrvXtg0JldwZ0,Un Poco de Ruido,78,178147
5Qv1EsPany9Fc3yyCJnoxw,Uriel Lozano,71,195821
6HTUcOExehqydqa7C3usAa,Abel Pintos,70,3505565
60XHOAhvEBiV6BGBOv8ClM,La Joaqui,73,1989837
19HM5j0ULGSmEoRcrSe5x3,Milo j,83,5336010
2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,80,7869075
3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,79,24350891
2Jb9jVnCpWkXtoGznFJ6bF,ECKO,66,1332757
6QVEWdYtBkaJcboEtH5FeB,Los Turros,59,173241
2eXWodjj5K1vVq2CSjl036,DobleP,68,219203
1NtRGHzfJ8H7dENIXu1tdk,Cristian Di Marco,63,88
04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,60,134194
6GRwwWAtmusrgAL5JF9Dfr,Callejero Fino,67,1789146
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,75,1308474
1QZuAtDYNrk2QMogJulsyq,Karina,66,651671
6iYRN5eaz8LSxvwkhmwkRj,j mena,60,498842
6LZA6PhNCwUfHzqfpN1nYL,Angela Torres,61,203679
7jAs1uPnpfNmT6e5qtEPxq,ATL Jacob,74,68374
3WMlRpW5JWuDI95TcEWt3r,Salastkbron,69,604098
5xIOUIBQhGFX7HIj8lhdyU,Omar Varela,71,88347
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,79,8106559
1H6X7yhnXZg73f9bssaj1Q,Judeline,70,130522
716NhGYqD1jl2wI1Qkgq36,Bizarrap,82,17017536
4m6ubhNsdwF4psNf3R8kwR,KHEA,78,5832526
7rFHoDuiSlV0DGHxckjm89,Lia Kali,68,179152
7CvTknweLr9feJtRGrpDBy,FloyyMenor,84,1184551
2qWK8K2Jfh67UqtwY8tCW6,YSY A,77,3396522
7fT2Me47PQ8T7954PKrcwR,Bhavi,70,1524000
5Zk54wioCsUtq5ggUWXqlK,Tuti DJ,54,48777
0sE8WmITfzXJwYGdtbo8B0,Pereiraremix,57,57588
6UCQYrcJ6wab6gnQ89OJFh,Headie One,68,617605
6uzHLlGqFKaXYOnZyYmXYg,LOUKI,72,28243
0pelomsVlROuivdE2RgeDU,El Mago Y La Nueva,64,16228
7Ez6lTtSMjMf2YSYpukP1I,Dasha,76,264069
2FXC3k01G6Gw61bmprjgqS,Hozier,86,8109432
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,83,20668786
3bO19AOone0ubCsfDXDtYt,Myles Smith,80,831041
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,90,5606988
70kkdajctXSbqSMJbQO424,Kacey Musgraves,77,1508348
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,77,3018497
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94,34910223
0C0XlULifJtAgn6ZNCW2eu,The Killers,79,7573310
6kbR2eL4hecj3rFwGOsYsI,BL3SS,71,24369
20rKUmFZsfv9GBXiv6R9d6,CamrinWatsin,71,20319
2UNjfzEkfsdWVDwnuD6vdH,bbyclose,71,3809
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi,73,204956
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,83,12364588
10exVja0key0uqUkk6LJRT,Vance Joy,78,3219475
25uiPmTg16RbhZWAqwLBy5,Charli xcx,87,4498935
06HL4z0CvFAxyc27GXpf02,Taylor Swift,100,127212154
4gvjmrtzydbMpyJaXUtwvP,Addison Rae,76,513902
1WaFQSHVGZQJTbf0BdxdNo,Tommy Richman,78,770146
0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,1014311
2kS9NyuATpYwjeB93h24H5,Nina Chuba,73,798039
1E8mXBWN7AXZCOPYbOky4J,Jazeek,74,408416
7rBed6Ya7Hwa2fXbh5btJE,LACAZETTE,73,194344
3CJKkU0XuElRT1z8rEtIYg,Luciano,76,2345395
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,70,164138
0JBdTCGs111JKKYfLqOEBa,Shirin David,68,970930
3drqpTL4sQOckmAfF9i1wg,Summer Cem,69,1115910
72y6W9pGy97xTM44dwy3F6,BILLA JOE,63,69061
7vohy1W7YNLxHynG44UFjS,Sampagne,64,55628
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,75,1834715
1SnSPHBs8l5iAvoWF0aO05,FOURTY,63,73952
13bDjug9N0pyv3ZUINjkDV,Bausa,70,1097837
61vhXXSO0lkbxFvnXHx8QP,CHEKAA,60,569
5HK6QtizXJzCmoYTkvFRik,Ndotz,73,143398
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,65,1184620
11p2E654TTU8e0nZWBR4AL,Mark Ambor,76,540241
0eVixEZVW2PB1UogwTWXc1,Berq,70,188563
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,68,161714
0rvjqX7ttXeg3mTy8Xscbt,Journey,76,5843043
5WUlDfRSoLAfcVSX1WnrxN,Sia,87,29008656
1fImPZoBVjmYrBFzCHh0N3,Souly,69,117344
11kt6ggsdxvI8MhyeSMKom,CYRIL,80,300616
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,80,1778710
5ByAEWetNZ95GufzBSOkc3,fallen777angel,61,43283
3JsHnjpbhX4SnySpvpa9DK,V,84,19186193
0xByDfltDVpk6LDsUMHyI2,Poshlaya Molly,66,1663744
4anb8rmk0xipuQP6QZ5IlH,FORTUNA 812,60,58769
5xtbUYHaOycg6HIi10EZdV,FRIENDLY THUG 52 NGG,64,219141
0TO6y1x0LQodwBnxGtQu9o,shadowraze,58,773500
5NMwoStnfHT4LdETlJSwDT,Big Baby Tape,65,1482494
4jIvmo6hfAQ04NSOWPVVA3,кис-кис,52,417408
5B5qmrbTFvA7TAxWruuwbo,Aarne,63,192754
2hTmpvdwhpNZryOkwTisRW,Toxi$,61,469810
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,87,16574156
3MdXrJWsbVzdn6fe5JYkSQ,Latto,80,1836549
0qyv7OappGDi0OyJxcqpVt,KRISTIEE,53,8111
5GTZUVrKf86Aco9LJQquxc,mapt0v,61,31340
0oSMgGNMeXe3HJAXEJrqL8,YungMeechy,44,1612
260kWe4y9lg7YFDsZBgsLv,zhanulka,55,190352
6Tv4ZrZbgUMcXAMv0d1VQM,fleurnothappy,55,11415
1jUPTaRiy2sOdOhvIEUosG,ENINA,52,111415
2z20q6EEfm6w6PiIKsgtb3,FACE,64,1831754
0yp6xP5xe1qarfugfTixOK,Monetochka,59,974185
0Kwx9LPnkelacgHzRI8vxl,Jakone,60,96191
1EDrjPOlEjmbzjbet1DxTN,Kiliana,54,2767
0E56Ncr2I37JQhW71UJALE,KRBK,62,351338
6oiinpr7kwRmyWKVDTZgRT,AP$ENT,51,39294
27kGBCjiz5OXojkKX4xQ6R,BUSHIDO ZHO,61,458422
4h8pGxEIOi7j4me1yhYxlD,LSP,60,1226784
7K2PBAFUE98RKu30clhIms,Violetta Sokolova,48,38417
3vvLuXEEf7sl3izJcw0GIn,Skryptonite,64,2906670
0P9E2MHee0cXNpIeAvFAt1,БРЕДИШЬ,50,53464
6oTirjGdJPFt3hycC1Rfxb,Xolidayboy,52,46694
0XNKQFs2Ewb3y0VsFUFc5l,MORGENSHTERN,60,2145846
56wiPFJN2Z1PG1N8hGNYaD,mzlff,58,159620
0hAEtx2GQLtMTJj8qycHRr,xxxmanera,55,214868
4uWhcZCwuPopf6JGvwsN2B,ANIKV,52,95583
0ChMIwzbYxHbebgoPeETfV,Lida,57,306537
5IS4dQ9lDW01IY1buR7bW7,СЕРЕГА ПИРАТ,59,275575
7bI1v9NGBBhq8iGfytctni,Squirrel Flower,48,44986
1nnaE1FllcW0TlDdPVmdPg,Scally Milano,58,574158
3I9Bd4StaxvFWPG9AAjlrO,uglystephan,55,296744
6iQqWcDg92kre5ykFLwqD8,Дайте танк (!),59,772477
0GOx72r5AAEKRGQFn3xqXK,GIMS,80,5186491
1cKyknhftNKXCjMBd2hDrG,DYSTINCT,72,646898
0LKAV3zJ8a8AIGnyc5OvfB,SDM,79,1425991
2loEsOijJ6XiGzWYFXMIRk,Adam Port,77,224723
6XjgqvaVLUib6lCerbZrYD,Stryv,75,12932
26WKgv73kRHD0gEDKD1i8j,Keinemusik,78,357955
2yyaNPcdxZcn4iutCcLMaC,Orso,75,1338
37lTKHi901VnwngQ7C8noT,Malachiii,75,9354
3IW7ScrzXmPvZhB27hmfgy,Jul,82,10659860
3hWQDRr1PqwvnHeiZlucBq,Bouss,73,123258
3zGV7t4BDmYZBLVA24487b,Pommelien Thijs,59,150167
2F3Mdh2idBVOiMTxXoxc10,MEAU,60,184929
0UF7XLthtbSF2Eur7559oV,Kavinsky,67,983203
3QVolfxko2UyCOtexhVTli,Angèle,70,2746002
1xU878Z1QtBldR7ru9owdU,Phoenix,68,1949990
5oNWzcU0mYK1zDUxBGHIaG,Hannah Mae,62,42827
5ncHUtKhiVsHlugFN0DCDl,MAKSIM,57,42751
5MraexJKZDrQYzS98kNwie,Sevdaliza,76,749338
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,75,4301052
1QsdzIKkTT5gDFj8GB1cIX,Yseult,74,278951
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,77,6987246
5wCmhq5J2hPwL2r0eKurxn,cassö,70,75591
5KKpBU5eC2tJDzf0wmlRp2,RAYE,80,1811332
5VadK1havLhK1OpKYsXv9y,D-Block Europe,76,1597324
07h4CCFmlXkwx0g4PL5Uuh,Guy2Bezbar,66,528138
5eDdy8QxB47JsLASK2FI1m,Noano,58,17176
5eir5zFJpES4j7gsymbVyl,Ronnie Flex,70,597519
3JhNCzhSMTxs9WLGJJxWOY,Macklemore,78,2472207
5mZJerulcERBZV7xnhrVp1,Ryan Lewis,72,1911
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,73,2603676
4e0nWw2r4BoQSKPQ2zpU13,Ray Dalton,75,87854
6ltzsmQQbmdoHHbLZ4ZN25,Lord Huron,78,1793656
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,77,636018
60df5JBRRPcnSpsIMxxwQm,Otis Redding,74,2346644
11oaKJc8rsz6x8YPVjca4X,Engel Montaz,72,13373
0kwa5ELbi8xm7vbwywoLtg,Kuv507,64,3516
0c0Yh1P4gMYmDwebhyzIDv,Latinnites Music,65,3892
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,87,5368511
5JMJt80HJWR1e4hMw63Z5t,Luis Vega,53,61952
1TA5sGRlKUJXBN4ZyJuDIX,Blessd,84,5590731
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,82,558663
1r4hJ1h58CWwUQe3MxPuau,Maluma,88,35181234
66ihevNkSYNzRAl44dx6jJ,Carin Leon,87,13888823
6ndLrsgT3MV5CNxIrW71fw,DFZM,72,105534
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,88,37463468
7j6DKwmjbxvpQO8h914uEz,Ryan Castro,82,3291559
4q3ewBCX7sLwd24euuV69X,Bad Bunny,96,87431757
1fctva4kpRbg2k3v7kwRuS,Rvssian,75,2515300
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,94,24639525
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,78,3955125
1dKdetem2xEmjgvyymzytS,Grupo Firme,82,13839167
0dUyjgCyjfj5eMx6bX2TWf,FMK,69,1619157
2jSGzJw0ebJLu7OLVSOcBP,Plan B,81,5273213
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,93,17699141
18dspUI6gqabm5XCC2RcUD,SOG,71,152808
5szJHKg5xeUlQ9pTqzdpic,Taiu,71,95265
0OTHm6AFLxgeTm0gHNOuWi,De Parranda,63,117954
3qsKSpcV3ncke3hw52JSMB,Young Miko,80,3593900
0wdQR6Qd64uSVhNJy7M2F0,JAVVI ELIAS,38,7158
6aoGgTKGqtsjj48ymcNs4Z,MC Tuto,83,1089238
6XX6KGpomRDPmGGm7bofCK,DJ Glenner,78,271313
3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,87,24383531
6vTqEFbTtTRJsuIpzZgjxi,Grupo Menos É Mais,81,4058611
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,82,21983968
5Dz2FizMLqV0Cr3c8uhEcF,MC Cebezinho,76,1168945
1b8S7EPzdckRyIh0uSbOMI,DJ Oreia,75,266980
64DTkZLH6KkkMwZEEZ5VWC,Love Funk,75,918294
5InVWl8IZB8zFAoNa5roKm,Mc Kako,76,1187271
59jlthNnbmim5l9tmNA7se,Maiara & Maraisa,80,13987684
1DuBkL1pAgaZQHXKPiVr08,Léo Foguete,74,89784
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,75,2750376
0nFdWpwl7h6fp3ADRyG14L,Marina Sena,71,421839
3hq7WoPJsrRP0KMSLhUgRz,Murilo Huff,80,1773114
2CKOmarVWvWqkNWUatHCex,Ana Castela,81,7758402
0xj9MJx9r0wO2o4aqdergP,DJ TOPO,73,194342
7me0S5Z40qVWj3gzyK8aC3,Mc Livinho,74,7408336
70jpkgy5oGT4YjaGFpCpk7,MC LUUKY,80,289136
7wLAecYIgstxcjqe6JwT3w,DJ JB Mix,68,3354
5s27i7oqhNWIcE4HeoVdq0,MC GP,78,1474923
2f8xoxornfSw6ePzgyM9NO,MC Jvila,72,64273
6XFc29m1ptfUNmaa1UTuBT,MC Joãozinho VT,78,1320780
3UfwtvPZZea2HHwI23VtKP,MC Vine7,71,51555
75i9GaW2MJUgt4BkdUnuUY,MC Ryan SP,85,6361665
2VTYSgPG0HoSZ4YMx7EeFj,Mc Duzinho SP,64,879
6zGPa2tLMJ5HQYUddZI8di,Caio Passos,67,103512
04QHNiih9ZesPvals6II1h,MC Marks,77,1779839
7IOSPo9oGCLWtDEZtmxgTi,MC Bruno MS,69,71017
2FDaBZt51fOXh2rbHL8Afr,Mc Magal,70,652358
48yaM25WLHmQZXx5NN3DYH,Aaron Modesto,67,11352
1elUiq4X7pxej6FRlrEzjM,Jorge & Mateus,83,20871614
0JRPF8WIKUtSO2IUYfrcuh,Kaique e Felipe,68,27546
5kVgcCdPbeUwxBqWxi2Ktl,Luan Pereira,80,2685125
6sW5k31iA8sTy0i2goUKF9,Oldilla,71,347970
6VOn8xBJH73S7DN8VBAoaN,Deejhay RB,65,15752
2Z0lRIqr997lIUiPtrpKCr,Matheus & Kauan,80,11525306
1LIuN7ov1IBQDdLsU83ojl,Hugo & Guilherme,80,2348590
41QLxRXlc2NwfJZkHGHKid,Israel & Rodolffo,73,2786418
1mV9h1AwhRXSjBFcYpajgY,Mc Lele JP,71,1015799
6VyttZwyEMGBl90oGdKCB8,MC Leozinho ZS,67,493689
6wduHvHCH5QZtWs6ULilDM,Henry Freitas,73,818499
0bg3fNpRQgZTCAg3Bseyly,Mc Th,72,1140027
5ZfBThYiIIhL7jHMG8gDB2,Ferrugem,78,5593823
1fUSLFr4WUBx7joEcGwpvG,Sorriso Maroto,78,3234020
37mqXU98U5GmH5ZDtlHM1c,Matheus Fernandes,71,880078
6qrqAYlS6lUj2BVXax7SZW,Mc Jacaré,72,659383
0vLuOi2k62sHujIfplInlK,Hungria,77,9888284
7gZu6kPnY9enEi5FvgTO4F,Felipe e Rodrigo,72,236711
7gHzR22tDNSWGS4HkvvPgw,THE BOX,66,419931
1SZXYhJz4sqEss888VmWLP,Mc Brinquedo,66,1066854
1JJq541frMPfUIQiUoVrnp,Mc Laranjinha,67,265826
1X6ORK7IekgmyjV6IFPszP,Gustavo Mioto,76,6296284
0i1s9WcIu0PrUvHzALgofo,Seu Jorge,70,1654959
6mKwmTMzDrye9elc8JWiw3,Mc Leozin,69,286213
3Nipsl6GVwwGyeAk0J29C6,MC G15,67,3296775
1tKrZaph4cLsnEdqC5BNEQ,Clayton & Romário,73,433238
5nP8x4uEFjAAmDzwOEc9b8,Matuê,81,11588969
2eK9gcJQ6uqVvJL63dnOM3,Simone Mendes,77,2422120
5IREutgMnyQqRcc8r15gWk,CountryBeat,68,62974
6YzSM19LzpLH0nVKKU6Jsy,Mc Daniel,75,2125341
3CIIaeZuFYrAD6PRVyuO4U,Felipe Amorim,76,2486901
2Y3kRJYYun9lDcRMM7ulQg,MC Bruna Alves,63,113388
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,75,1361443
7rXMvXRnWHaSwnVvPeUUfw,Gloria Groove,73,3489449
6TYimByryGphZCtwYopH0y,Lauana Prado,78,4877841
5tfvAC3ptwTnVXeNJ8qkYe,DJ L30,62,9194
5O30nI9WzhHuxqFZqReBQu,MC Thaizinha,62,10135
1mvpEXClANunyiHFtAXCxt,MC Rick,70,1568633
2xOLGU5UNLV3KQSFteF8ZW,Boladin 211,72,198583
54DpD2uxqh2jQtstvXxCag,Deliverymusic,62,61
4MQAbRFF5xtTAIYG8jzfZm,Dj L Martins,61,11932
5H2zqAv4kVidX9S98sanYa,GringoBeats808,59,1166
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,79,20628797
6sEfX6ntbBxeWBLggUMyyq,Medi,50,178599
3CcA9m1Ivpp5XmLt8SxUpn,Tedi Aleksandrova,47,104920
2xZOjY3LYFt8mfHuBUOBwF,Silver,37,1360
4vczAVLBVJzhMndKRCsQls,Djordan,48,109480
1WOWylyMYTYIkDJmKLeSpQ,Dessita,46,98534
39mjWoyHE5RMghSx70h7pI,DJ Damyan,45,26314
1lxHE7dVKOVaIjGOIu8svG,Emanuela,51,129965
1vAwQYTE1k5MBhNsvqphp1,Azis,54,124014
2Dj0euYPa8eiI6Ee5VLBwg,Preslava,53,233371
3Q71N3lHz2pijhljCNqOqw,Andrea,47,19909
7Cg8hnSsmbfC6fxCykWYrh,Bilyanish,38,13504
5f1C9EB4G4MrxxmWmZP5Wo,MOMO RECORDS,43,40287
583wxBpo6S1maGz1bqYekZ,Selina,38,2376
2M8DUpSnqu7TlGxEgjUocd,Danna,38,48124
4v8n02xVhZK4CmdUAuipHn,Konstantin,49,71703
7JLPN5CklYCRotAvFGw4Q1,Fiki,47,124048
1UUQq3z2RCIqSE1eiP00Jv,Marso,45,66746
21dDhxm6HACY7m7vzfInMh,SST,35,2760
556XyBuO17TCo0Bviw5nCW,V:RGO,50,143478
27m6NrJXMbLGlkoGBUy2IV,Boro Purvi,43,62652
4oopAFtLdKXCoq2XoEjDZD,Krisko,50,156236
5M7RMcbgYy45XzC51HU355,Galena,54,298135
1nRdMIjXitRbmuhwGJopDK,Tzankǎ Uraganu,0,83
48MmYtebtmsS7LjcYwGBWk,Tomas,35,860
4AZihrM3P96d5mA9kvsxxH,Tsvetelina Yaneva,45,83875
5amPFw5XVlNzP7uSKBXtai,Galin,49,138027
6NtH0d4qlaU5FakRdrdNwq,SIMONA,44,52201
4aPsL8sPDTXIR11gYfAb0i,Mirela,40,8786
696J4fiOALx5ifVKv10VbK,Adam,40,30471
29Hsg37sCbjeeCdDA0HIgt,Ivayla,34,9365
4FTXvsvz433gZR67rhxFfN,Lidia,43,61013
1cqkZpQniJhO3wvhxqVz54,Jordan,29,1969
4CrkuFqKkCWd7pJTOaGxhX,Ork. Salih Hamburg,36,265
12a4KgFut39rBB8WjeN2oL,VANE$$A,39,68679
5mNFpEfI0KApCz2Y88LYW6,Alisia,46,78616
2lKSCvxuWDRCyImWLIXqre,Don Mario,33,3266
