Source,Target
2YZyLoL8N0Wb9xBt1NhZWg,rap
2YZyLoL8N0Wb9xBt1NhZWg,hip hop
7tYKF4w9nC0nq9CsPZTHyP,rap
7tYKF4w9nC0nq9CsPZTHyP,pop
7tYKF4w9nC0nq9CsPZTHyP,r&b
6cUpFVxDYWed9WxtC4QgC5,rap
757aE44tKEUQEqRuT6GnEB,trap
757aE44tKEUQEqRuT6GnEB,rap
4V8LLVI7PbaPR0K2TGSxFF,rap
4V8LLVI7PbaPR0K2TGSxFF,hip hop
2qoQgPAilErOKCwE2Y8wOG,hip hop
3DbwFQlvLxRSi2uX8mf81A,trap
3DbwFQlvLxRSi2uX8mf81A,rap
55Aa2cqylxrFIXC767Z865,trap
55Aa2cqylxrFIXC767Z865,rap
55Aa2cqylxrFIXC767Z865,pop
55Aa2cqylxrFIXC767Z865,hip hop
6fqjJNsLs7g6F3PXy01Xnw,rap
1HY2Jd0NmPuamShAr6KMms,pop
0du5cEVh5yTK9QJze8zA0C,pop
1iCnM8foFssWlPRLfAbIwo,pop
3eVa5w3URK5duf6eyVDbu9,pop
3eVa5w3URK5duf6eyVDbu9,k-pop
6qqNVTkY8uBg9cP3Jd7DAH,pop
67FB4n52MgexGQIG8s0yUH,pop
1oSPZhvZMIrWW5I41kPkkY,pop
1oSPZhvZMIrWW5I41kPkkY,k-pop
1Xyo4u8uXC1ZmMpatF05PJ,pop
1Xyo4u8uXC1ZmMpatF05PJ,r&b
699OTQXzgjhIYAHMy9RyPD,rap
699OTQXzgjhIYAHMy9RyPD,hip hop
46UMQ0cW8ToR8egkBRwAxZ,pop
66CXWjxzNUsdJxJ2JdwvnR,pop
74KM79TiuVKeVCqs8QtB0B,pop
4cPHsZM98sKzmV26wlwD2W,rock
4iHNK0tOyZPYnBU7nGAgpQ,pop
7GlBOeep6PqTfFi59PTUUN,pop
20wkVLutqVOYrc0kxFs7rA,r&b
5lpH0xAS4fVfLkACg9DAuM,pop
5lpH0xAS4fVfLkACg9DAuM,rock
3y2cIKLjiOlp1Np37WiUdH,rap
3y2cIKLjiOlp1Np37WiUdH,pop
3y2cIKLjiOlp1Np37WiUdH,country
246dkjvS1zLTtiykXe5h60,rap
246dkjvS1zLTtiykXe5h60,pop
4oUHIQIBe0LHzYfvXNW4QM,country
5j4HeCoUlzhfWtjAfM1acR,pop
5j4HeCoUlzhfWtjAfM1acR,house
6e3pZKXUxrPfnUPJ960Hd9,pop
2tIP7SsRs7vjIcLrU85W8J,hip hop
3l9G1G9MxH6DaRhwLklaf5,corrido
0ys2OFYzWYB5hRDLCsBqxt,sierreno
0ys2OFYzWYB5hRDLCsBqxt,corrido
22wbnEMDvgVIAGdFeek6ET,pop
2sSGPbdZJkaSE2AbcGOACx,pop
77SW9BnxLY8rJ0RciFqkHh,pop
77SW9BnxLY8rJ0RciFqkHh,rock
2RQXRUsr4IW1f3mKyKsy4B,pop
78F6Xkd46aMHkr4AP60TXY,trap
78F6Xkd46aMHkr4AP60TXY,rap
3E12tRURRvPfHz0hAMCFYc,trap
3E12tRURRvPfHz0hAMCFYc,rap
