id,label,type,main_country
1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,Artist,Chile
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,Artist,Andorra
6nVcHLIgY5pE2YCl8ubca1,JHAYCO,Artist,Andorra
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,Artist,Andorra
4BnXLYKwUhFGUmYE5mPNox,Las 2K,Artist,Andorra
6mQDo8xYI31LFjmhIsZEWg,Chardo Chardemio,Artist,Andorra
3QqpGThGBmUjiYeF8biKlM,Melody Records International,Artist,Andorra
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,Artist,Andorra
1x8mAhfvCw7JXRX7Ild0lF,Hey Kid,Artist,Andorra
6i0h6wBrfNkdf3eTUoelpP,Malmö 040,Artist,Andorra
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,Artist,Andorra
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,Artist,Andorra
5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,Artist,Argentina
7FNnA9vBm6EKceENgCGRMb,Anitta,Artist,Andorra
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,Artist,Andorra
60ZOYUFnCYEeKYsxgvPxOS,Cano,Artist,Andorra
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol,Artist,Andorra
1bAftSH8umNcGZ0uyV7LMg,Duki,Artist,Argentina
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Artist,Australia
6eXZu6O7nAUA5z6vLV8NKI,Little Simz,Artist,Andorra
3wcj11K77LjEY1PkEazffa,Burna Boy,Artist,Andorra
0jIWKlfmD4Ew7HeVVrq03g,Elyanna,Artist,Andorra
7vXDAI8JwjW531ouMGbfcp,TINI,Artist,Andorra
2V9MnjEMqwXm7sice07NQK,Diegote,Artist,Andorra
4kcQWQDK0u9AftVSpdrAgk,Luck Ra,Artist,Argentina
5TP8Ubo4jLKEi4Mw2O8fAk,BM,Artist,Argentina
2OhUNb01gLwygOizYvTm0e,Big One,Artist,Argentina
2BTS8Np1YzPQuXjgdlqsBB,Emanero,Artist,Argentina
55ru5B05MMBunM1tvH7Di6,Valentino Merlo,Artist,Argentina
1FxPMQ9A0882eNDx3ZkD6B,La T y La M,Artist,Argentina
6Gsh7oJoJ5EQUuQk0EhfWL,Malandro,Artist,Argentina
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,Artist,Uruguay
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,Artist,Bolivia
