id_genre,id_artiste,pays
1794,284,El Salvador
1796,284,El Salvador
1798,284,El Salvador
1793,285,Bolivia
1794,285,Bolivia
1796,285,Bolivia
1798,285,Bolivia
1793,286,Ecuador
1794,286,Ecuador
1795,286,Ecuador
1796,286,Ecuador
1798,286,Ecuador
1793,289,Bolivia
1794,289,Bolivia
1793,290,El Salvador
1794,290,El Salvador
1796,290,El Salvador
1798,290,El Salvador
1796,292,Bolivia
1793,293,Bolivia
1794,293,Bolivia
1793,295,Bolivia
1794,295,Bolivia
1798,295,Bolivia
1795,296,Bolivia
1801,297,Brazil
1801,302,Brazil
1801,305,Brazil
1795,306,Brazil
1801,308,Brazil
1795,309,Brazil
1795,311,Brazil
1801,312,Brazil
1801,313,Brazil
1801,316,Brazil
1801,318,Brazil
1801,320,Brazil
1793,322,Brazil
1794,322,Brazil
1801,322,Brazil
1801,323,Brazil
1801,325,Brazil
1795,328,Brazil
1801,330,Brazil
1795,332,Brazil
1795,333,Brazil
1795,334,Brazil
1801,335,Brazil
1801,336,Brazil
1801,338,Brazil
1801,339,Brazil
1793,342,Brazil
1794,342,Brazil
1801,342,Brazil
1793,343,Brazil
1797,343,Brazil
1795,344,Brazil
1793,345,Brazil
1794,345,Brazil
1801,346,Brazil
1801,347,Brazil
1799,349,Brazil
1801,350,Brazil
1801,351,Brazil
1795,352,Brazil
1793,353,Brazil
1794,353,Brazil
1801,356,Brazil
1801,358,Brazil
1795,359,Brazil
1795,360,Brazil
1801,360,Brazil
1795,361,Brazil
1801,363,Brazil
1801,364,Brazil
1801,367,Brazil
1795,370,Bulgaria
1795,371,Bulgaria
1799,372,Bulgaria
1795,373,Bulgaria
1795,374,Bulgaria
1795,375,Bulgaria
1795,376,Bulgaria
1795,377,Bulgaria
1795,378,Bulgaria
1795,379,Bulgaria
1795,380,Bulgaria
1793,381,Bulgaria
1794,381,Bulgaria
1795,381,Bulgaria
1797,381,Bulgaria
1795,382,Bulgaria
1795,383,Bulgaria
1795,384,Bulgaria
1795,385,Bulgaria
1793,386,Bulgaria
1794,386,Bulgaria
1795,386,Bulgaria
1793,388,Bulgaria
1794,388,Bulgaria
1795,388,Bulgaria
1795,389,Bulgaria
1797,389,Bulgaria
1795,390,Bulgaria
1797,390,Bulgaria
1795,391,Bulgaria
1795,394,Bulgaria
1795,395,Bulgaria
1795,396,Bulgaria
1795,397,Bulgaria
1799,397,Bulgaria
1795,398,Bulgaria
1795,399,Bulgaria
1795,400,Bulgaria
1795,401,Bulgaria
1795,403,Bulgaria
1795,404,Bulgaria
1795,405,Bulgaria
1795,406,Canada
1795,410,Canada
1793,411,Canada
1793,412,Canada
1794,412,Canada
1797,412,Canada
1796,418,Chile
1793,421,Chile
1794,421,Chile
1796,429,Chile
1793,430,Chile
1794,430,Chile
1796,430,Chile
1800,431,Chile
1793,434,Chile
1794,434,Chile
1796,434,Chile
1798,434,Chile
1793,435,Chile
1794,435,Chile
1798,435,Chile
1793,436,Chile
1794,436,Chile
1798,440,Chile
1800,440,Chile
1793,442,Chile
1794,442,Chile
1796,444,Chile
1793,447,Colombia
1794,447,Colombia
1797,448,Colombia
1793,449,Panama
1794,449,Panama
1796,449,Panama
1798,449,Panama
1795,450,Panama
1796,450,Panama
1798,450,Panama
1796,452,Colombia
1793,453,Colombia
1794,453,Colombia
1798,453,Colombia
1796,455,Colombia
1796,457,Colombia
1798,457,Colombia
1793,459,Colombia
1794,459,Colombia
1796,459,Colombia
1797,459,Colombia
1793,462,Colombia
1794,462,Colombia
1796,462,Colombia
1797,462,Colombia
1798,462,Colombia
1795,464,Colombia
1796,464,Colombia
1798,464,Colombia
1795,465,Colombia
1793,466,Colombia
1794,466,Colombia
1796,466,Colombia
1797,466,Colombia
1798,466,Colombia
1793,467,Colombia
1794,467,Colombia
1796,467,Colombia
1797,467,Colombia
1798,467,Colombia
1793,468,Costa Rica
1794,468,Costa Rica
1798,468,Costa Rica
1793,469,Paraguay
1794,469,Paraguay
1798,469,Paraguay
1793,470,Costa Rica
1794,470,Costa Rica
1796,470,Costa Rica
1798,470,Costa Rica
1793,472,Nicaragua
1794,472,Nicaragua
1795,472,Nicaragua
1797,472,Nicaragua
1798,472,Nicaragua
1795,473,Nicaragua
1797,473,Nicaragua
1798,473,Nicaragua
1797,474,Czech Republic
1800,474,Czech Republic
1797,475,Czech Republic
1800,475,Czech Republic
1797,476,Czech Republic
1793,477,Slovakia
1794,477,Slovakia
1797,477,Slovakia
1797,478,Czech Republic
1797,480,Czech Republic
1797,481,Czech Republic
1797,483,Czech Republic
1797,484,Czech Republic
