artist,genre,pays
Дайте танк (!),rock,Belarus
Toxi$,hip hop,Belarus
Lady Gaga,pop,Sweden
Bruno Mars,pop,Ukraine
Bruno Mars,pop,Ukraine
Billie Eilish,pop,United Kingdom
Benson Boone,pop,United Kingdom
Gigi Perez,pop,Sweden
GIMS,hip hop,Switzerland
GIMS,hip hop,Switzerland
DYSTINCT,hip hop,Switzerland
SDM,hip hop,Switzerland
Lost Frequencies,pop,Netherlands
Tom Odell,pop,Luxembourg
ROSÉ,pop,Ukraine
Bruno Mars,pop,Switzerland
Bruno Mars,pop,Switzerland
Bruno Mars,pop,Switzerland
Bruno Mars,pop,Switzerland
Bruno Mars,pop,Switzerland
Bruno Mars,pop,Switzerland
Sabrina Carpenter,pop,United Kingdom
Linkin Park,rock,Luxembourg
Billie Eilish,pop,Ukraine
Billie Eilish,pop,Ukraine
Billie Eilish,pop,Ukraine
Billie Eilish,pop,Ukraine
Billie Eilish,pop,Ukraine
Myles Smith,pop,Switzerland
Jul,hip hop,France
Sabrina Carpenter,pop,United Kingdom
Sabrina Carpenter,pop,United Kingdom
KAROL G,urbano latino,Spain
KAROL G,urbano latino,Spain
Tom Odell,pop,Luxembourg
Tom Odell,pop,Luxembourg
MEAU,pop,Netherlands
Mark Ambor,pop,Netherlands
Mark Ambor,pop,Netherlands
Topic,pop,Netherlands
Arash,pop,Netherlands
Arash,pop,Netherlands
Chappell Roan,pop,United Kingdom
SDM,hip hop,Luxembourg
Shaboozey,pop,Switzerland
Shaboozey,pop,Switzerland
Angèle,pop,France
Phoenix,rock,France
Phoenix,rock,France
Phoenix,rock,France
Phoenix,rock,France
Hannah Mae,pop,Netherlands
Hannah Mae,pop,Netherlands
Hannah Mae,pop,Netherlands
Hannah Mae,pop,Netherlands
Pabllo Vittar,funk,Switzerland
Yseult,pop,Switzerland
Disturbed,rock,Switzerland
Disturbed,rock,Switzerland
cassö,pop,Ireland
RAYE,pop,Ireland
D-Block Europe,drill,Ireland
Guy2Bezbar,hip hop,Luxembourg
Guy2Bezbar,hip hop,Luxembourg
Linkin Park,rock,Luxembourg
Vance Joy,rock,Switzerland
Ndotz,drill,Switzerland
Ndotz,drill,Switzerland
Ronnie Flex,hip hop,Netherlands
The Neighbourhood,rock,Switzerland
Macklemore,hip hop,Switzerland
Macklemore,hip hop,Switzerland
Macklemore & Ryan Lewis,hip hop,Switzerland
Ray Dalton,pop,Switzerland
Mariah Carey,pop,Switzerland
Mariah Carey,pop,Switzerland
Alex Warren,pop,Norway
Alex Warren,pop,Norway
Jimin,pop,Belarus
Medi,pop,Bulgaria
Tedi Aleksandrova,pop,Bulgaria
Silver,rock,Bulgaria
Jimin,pop,Belarus
The Weeknd,pop,Ukraine
Playboi Carti,hip hop,Switzerland
Djordan,pop,Bulgaria
Dessita,pop,Bulgaria
Djordan,pop,Bulgaria
The Weeknd,pop,Switzerland
Anitta,funk,Slovakia
DJ Damyan,pop,Bulgaria
Emanuela,pop,Bulgaria
Lady Gaga,pop,Spain
Bruno Mars,pop,Switzerland
Azis,pop,Bulgaria
Preslava,pop,Bulgaria
Andrea,pop,Bulgaria
ROSÉ,pop,Switzerland
Bruno Mars,pop,Sweden
Emanuela,pop,Bulgaria
Bilyanish,pop,Bulgaria
MOMO RECORDS,hip hop,Bulgaria
Selina,pop,Bulgaria
Medi,pop,Bulgaria
Danna,pop,Bulgaria
Konstantin,pop,Bulgaria
Konstantin,pop,Bulgaria
Emanuela,pop,Bulgaria
Fiki,pop,Bulgaria
Azis,pop,Bulgaria
Marso,pop,Bulgaria
Marso,pop,Bulgaria
V:RGO,pop,Bulgaria
Boro Purvi,hip hop,Bulgaria
Krisko,hip hop,Bulgaria
Galena,pop,Bulgaria
Galena,pop,Bulgaria
Konstantin,pop,Bulgaria
Konstantin,pop,Bulgaria
Galena,pop,Bulgaria
Tsvetelina Yaneva,pop,Bulgaria
Galin,pop,Bulgaria
Krisko,hip hop,Bulgaria
Konstantin,pop,Bulgaria
Billie Eilish,pop,Switzerland
SIMONA,pop,Bulgaria
Mirela,rock,Bulgaria
Adam,pop,Bulgaria
Ivayla,pop,Bulgaria
Galin,pop,Bulgaria
Dessita,pop,Bulgaria
Lidia,pop,Bulgaria
Konstantin,pop,Bulgaria
Djordan,pop,Bulgaria
Sabrina Carpenter,pop,United Kingdom
Travis Scott,rap,Slovakia
Playboi Carti,hip hop,Switzerland
Medi,pop,Bulgaria
Selina,pop,Bulgaria
Emanuela,pop,Bulgaria
Jordan,pop,Bulgaria
Jordan,pop,Bulgaria
Topic,pop,Luxembourg
Arash,pop,Luxembourg
Arash,pop,Luxembourg
DJ Damyan,pop,Bulgaria
