id_genre,id_artiste
pop,3rIZMv9rysU7JkLzEaC5Jp
rock,3rIZMv9rysU7JkLzEaC5Jp
hip hop,1bAftSH8umNcGZ0uyV7LMg
trap,1bAftSH8umNcGZ0uyV7LMg
rap,1bAftSH8umNcGZ0uyV7LMg
urbano latino,1bAftSH8umNcGZ0uyV7LMg
pop,4gzpq5DPGxSnKTe4SA8HAU
trap,6eXZu6O7nAUA5z6vLV8NKI
rap,6eXZu6O7nAUA5z6vLV8NKI
r&b,6eXZu6O7nAUA5z6vLV8NKI
hip hop,3wcj11K77LjEY1PkEazffa
pop,3wcj11K77LjEY1PkEazffa
pop,0jIWKlfmD4Ew7HeVVrq03g
pop,7vXDAI8JwjW531ouMGbfcp
trap,4kcQWQDK0u9AftVSpdrAgk
rap,4kcQWQDK0u9AftVSpdrAgk
trap,2OhUNb01gLwygOizYvTm0e
rap,2OhUNb01gLwygOizYvTm0e
hip hop,2BTS8Np1YzPQuXjgdlqsBB
rap,2BTS8Np1YzPQuXjgdlqsBB
pop,1FxPMQ9A0882eNDx3ZkD6B
cumbia,1FxPMQ9A0882eNDx3ZkD6B
rap,6Gsh7oJoJ5EQUuQk0EhfWL
pop,1DxLCyH42yaHKGK3cl5bvG
urbano latino,1DxLCyH42yaHKGK3cl5bvG
cumbia,0ZCO8oVkMj897cKgFH7fRW
pop,06Q5VlSAku57lFzyME3HrM
cumbia,06Q5VlSAku57lFzyME3HrM
pop,4oZolC0sCwCAKqsNXfRlVS
cumbia,4oZolC0sCwCAKqsNXfRlVS
pop,7yIp2QRLkQ6loIrupimiri
cumbia,7yIp2QRLkQ6loIrupimiri
cumbia,5Qv1EsPany9Fc3yyCJnoxw
pop,6HTUcOExehqydqa7C3usAa
hip hop,60XHOAhvEBiV6BGBOv8ClM
rap,60XHOAhvEBiV6BGBOv8ClM
trap,19HM5j0ULGSmEoRcrSe5x3
rap,19HM5j0ULGSmEoRcrSe5x3
urbano latino,19HM5j0ULGSmEoRcrSe5x3
hip hop,2UZIAOlrnyZmyzt1nuXr9y
trap,2UZIAOlrnyZmyzt1nuXr9y
rap,2UZIAOlrnyZmyzt1nuXr9y
r&b,2UZIAOlrnyZmyzt1nuXr9y
urbano latino,2UZIAOlrnyZmyzt1nuXr9y
hip hop,3vQ0GE3mI0dAaxIMYe5g7z
trap,3vQ0GE3mI0dAaxIMYe5g7z
rap,3vQ0GE3mI0dAaxIMYe5g7z
urbano latino,3vQ0GE3mI0dAaxIMYe5g7z
hip hop,2Jb9jVnCpWkXtoGznFJ6bF
trap,2Jb9jVnCpWkXtoGznFJ6bF
rap,2Jb9jVnCpWkXtoGznFJ6bF
pop,6QVEWdYtBkaJcboEtH5FeB
cumbia,6QVEWdYtBkaJcboEtH5FeB
pop,04XdCDDrPnnqidaVBTOQjt
cumbia,04XdCDDrPnnqidaVBTOQjt
pop,1QZuAtDYNrk2QMogJulsyq
cumbia,1QZuAtDYNrk2QMogJulsyq
pop,6iYRN5eaz8LSxvwkhmwkRj
cumbia,6iYRN5eaz8LSxvwkhmwkRj
pop,6LZA6PhNCwUfHzqfpN1nYL
pop,3WMlRpW5JWuDI95TcEWt3r
hip hop,2x7PC78TmgqpEIjaGAZ0Oz
trap,2x7PC78TmgqpEIjaGAZ0Oz
rap,2x7PC78TmgqpEIjaGAZ0Oz
urbano latino,2x7PC78TmgqpEIjaGAZ0Oz
hip hop,716NhGYqD1jl2wI1Qkgq36
pop,716NhGYqD1jl2wI1Qkgq36
trap,716NhGYqD1jl2wI1Qkgq36
rap,716NhGYqD1jl2wI1Qkgq36
urbano latino,716NhGYqD1jl2wI1Qkgq36
hip hop,4m6ubhNsdwF4psNf3R8kwR
trap,4m6ubhNsdwF4psNf3R8kwR
rap,4m6ubhNsdwF4psNf3R8kwR
urbano latino,4m6ubhNsdwF4psNf3R8kwR
hip hop,2qWK8K2Jfh67UqtwY8tCW6
trap,2qWK8K2Jfh67UqtwY8tCW6
rap,2qWK8K2Jfh67UqtwY8tCW6
hip hop,7fT2Me47PQ8T7954PKrcwR
trap,7fT2Me47PQ8T7954PKrcwR
rap,7fT2Me47PQ8T7954PKrcwR
hip hop,6UCQYrcJ6wab6gnQ89OJFh
pop,2FXC3k01G6Gw61bmprjgqS
rock,2FXC3k01G6Gw61bmprjgqS
pop,69GGBxA162lTqCwzJG5jLp
pop,3bO19AOone0ubCsfDXDtYt
country,40ZNYROS4zLfyyBSs2PGe2
country,70kkdajctXSbqSMJbQO424
pop,2sil8z5kiy4r76CRTXxBCA
rock,2sil8z5kiy4r76CRTXxBCA
house,0Y5tJX1MQlPlqiwlOH1tJY
rap,0Y5tJX1MQlPlqiwlOH1tJY
rock,0C0XlULifJtAgn6ZNCW2eu
rock,08GQAI4eElDnROBrJRGE0X
pop,10exVja0key0uqUkk6LJRT
k-pop,10exVja0key0uqUkk6LJRT
rock,10exVja0key0uqUkk6LJRT
pop,25uiPmTg16RbhZWAqwLBy5
