"id","title","artists_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","country"
"10","Mi Camino","[11oaKJc8rsz6x8YPVjca4X, 0c0Yh1P4gMYmDwebhyzIDv]","0.619","0.392","4","-10.919","0","0.0971","0.3400","0.000000","0.0767","0.893","175.840","audio_features","6RJWcYvINrYamu3sfW7a9T","spotify:track:6RJWcYvINrYamu3sfW7a9T","https://api.spotify.com/v1/tracks/6RJWcYvINrYamu3sfW7a9T","https://api.spotify.com/v1/audio-analysis/6RJWcYvINrYamu3sfW7a9T","167659","3","Dominica"
"11","Vibrador","[11oaKJc8rsz6x8YPVjca4X]","0.695","0.704","6","-4.788","0","0.2670","0.1180","0.002610","0.1360","0.577","179.873","audio_features","4h3i4yz7mkw1H9XG9VMkjQ","spotify:track:4h3i4yz7mkw1H9XG9VMkjQ","https://api.spotify.com/v1/tracks/4h3i4yz7mkw1H9XG9VMkjQ","https://api.spotify.com/v1/audio-analysis/4h3i4yz7mkw1H9XG9VMkjQ","186667","4","Dominica"
"12","Dale 2","[4ncaw2cfA3Wlly1tBD2eWt, 3Z8i7zAQr7lPwH7pUQnlXJ]","0.845","0.791","7","-4.188","1","0.3120","0.0497","0.000012","0.5580","0.861","130.023","audio_features","7eYg1DaZOkTUJbMpzTAfhl","spotify:track:7eYg1DaZOkTUJbMpzTAfhl","https://api.spotify.com/v1/tracks/7eYg1DaZOkTUJbMpzTAfhl","https://api.spotify.com/v1/audio-analysis/7eYg1DaZOkTUJbMpzTAfhl","148851","4","Dominica"
"13","CHAPA","[4ncaw2cfA3Wlly1tBD2eWt, 5O5qjKWtduHgXxeEYbbSxz]","0.897","0.505","0","-6.243","1","0.2860","0.2750","0.000761","0.0836","0.527","139.981","audio_features","4uFYkBaLGIhBaLT9KbhyPt","spotify:track:4uFYkBaLGIhBaLT9KbhyPt","https://api.spotify.com/v1/tracks/4uFYkBaLGIhBaLT9KbhyPt","https://api.spotify.com/v1/audio-analysis/4uFYkBaLGIhBaLT9KbhyPt","120053","4","Dominica"
"14","Hola Perdida","[7eUSP77ZhnXleSue48JWiT]","0.527","0.915","9","-4.864","0","0.1410","0.0633","0.000011","0.1360","0.879","163.385","audio_features","23z7S6AC0ZGysT7jYeSZxB","spotify:track:23z7S6AC0ZGysT7jYeSZxB","https://api.spotify.com/v1/tracks/23z7S6AC0ZGysT7jYeSZxB","https://api.spotify.com/v1/audio-analysis/23z7S6AC0ZGysT7jYeSZxB","238595","4","Dominica"
"15","Baccarat","[5rlinmh5Y0p4zfMY5qngpX]","0.670","0.626","4","-9.997","0","0.2470","0.2110","0.000000","0.1090","0.491","90.084","audio_features","1OCeWoyUwGq1ZLGk3xxCBj","spotify:track:1OCeWoyUwGq1ZLGk3xxCBj","https://api.spotify.com/v1/tracks/1OCeWoyUwGq1ZLGk3xxCBj","https://api.spotify.com/v1/audio-analysis/1OCeWoyUwGq1ZLGk3xxCBj","149333","4","Dominica"
"16","Ellos Vienen Ellos Van - Remix","[4UcGO4hOufILa9qGd3KOCo, 4lpMINWZQ39N9joHJFmgDE, 30TfJAUX5Aeh7qKjyndmsO]","0.870","0.680","6","-2.860","0","0.1290","0.0368","0.000001","0.6750","0.219","104.955","audio_features","6OrYFEipXhLOZPHonr62mU","spotify:track:6OrYFEipXhLOZPHonr62mU","https://api.spotify.com/v1/tracks/6OrYFEipXhLOZPHonr62mU","https://api.spotify.com/v1/audio-analysis/6OrYFEipXhLOZPHonr62mU","124028","4","Dominica"
"17","Que linda","[2rMFPjySMqkgBajkLKL6zo, 2dHbjVgpO3NvzY8D7yZvji, 0L7AJNWmGtSjzASON8eTDW, 7w0t8O8nbirfLvGJgKK0xk]","0.681","0.592","4","-7.898","0","0.4060","0.0272","0.000628","0.1860","0.802","187.345","audio_features","1FExEHMPs4J1qLZTPFOuaX","spotify:track:1FExEHMPs4J1qLZTPFOuaX","https://api.spotify.com/v1/tracks/1FExEHMPs4J1qLZTPFOuaX","https://api.spotify.com/v1/audio-analysis/1FExEHMPs4J1qLZTPFOuaX","137760","3","Dominica"
"18","PIKY","[1y8spb5Thg0p5ybNtdk4tu, 7w0t8O8nbirfLvGJgKK0xk]","0.793","0.713","10","-6.749","0","0.4060","0.0192","0.000002","0.3340","0.889","117.970","audio_features","3s53B1v7ijagovFhhWVX8n","spotify:track:3s53B1v7ijagovFhhWVX8n","https://api.spotify.com/v1/tracks/3s53B1v7ijagovFhhWVX8n","https://api.spotify.com/v1/audio-analysis/3s53B1v7ijagovFhhWVX8n","118999","4","Dominica"
"19","Si Antes Te Hubiera Conocido","[790FomKkXshlbRYZFtlgla]","0.924","0.668","11","-6.795","1","0.0469","0.4460","0.000594","0.0678","0.787","128.027","audio_features","6WatFBLVB0x077xWeoVc2k","spotify:track:6WatFBLVB0x077xWeoVc2k","https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k","https://api.spotify.com/v1/audio-analysis/6WatFBLVB0x077xWeoVc2k","195824","4","Dominica"
"20","EBRIO","[6kq4GHwUcUojGIu0ziSNXf, 6GlX3FdCQrMftGfVaWcmPZ]","0.749","0.648","8","-5.766","0","0.0972","0.1190","0.000000","0.1590","0.503","163.926","audio_features","0c1ctKLU6NrzBXYJBz8z4p","spotify:track:0c1ctKLU6NrzBXYJBz8z4p","https://api.spotify.com/v1/tracks/0c1ctKLU6NrzBXYJBz8z4p","https://api.spotify.com/v1/audio-analysis/0c1ctKLU6NrzBXYJBz8z4p","159219","4","Dominica"
"21","DEGENERE 👑 (feat. benny blanco)","[7iK8PXO48WeuP03g8YR51W, 5CiGnKThu5ctn9pBxv7DGa]","0.744","0.709","6","-5.778","0","0.2840","0.0501","0.000000","0.0847","0.712","194.055","audio_features","0qeIFEGRQqHoaJtLCl0U73","spotify:track:0qeIFEGRQqHoaJtLCl0U73","https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73","https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73","130880","4","Dominica"
"22","LA PRIMERA VEZ (feat. NTG)","[7iK8PXO48WeuP03g8YR51W, 6GlX3FdCQrMftGfVaWcmPZ]","0.672","0.701","1","-5.523","0","0.3050","0.1040","0.000000","0.1130","0.399","91.312","audio_features","1nlE7HodTsB0IHA3HkR6gd","spotify:track:1nlE7HodTsB0IHA3HkR6gd","https://api.spotify.com/v1/tracks/1nlE7HodTsB0IHA3HkR6gd","https://api.spotify.com/v1/audio-analysis/1nlE7HodTsB0IHA3HkR6gd","171827","4","Dominica"
"23","A 30","[1y8spb5Thg0p5ybNtdk4tu, 7w0t8O8nbirfLvGJgKK0xk]","0.540","0.960","10","-3.679","0","0.1470","0.0653","0.012900","0.3090","0.737","159.294","audio_features","2h2Kllyx5wpXvrYN3M8CG1","spotify:track:2h2Kllyx5wpXvrYN3M8CG1","https://api.spotify.com/v1/tracks/2h2Kllyx5wpXvrYN3M8CG1","https://api.spotify.com/v1/audio-analysis/2h2Kllyx5wpXvrYN3M8CG1","115433","5","Dominica"
"24","El Perdedor","[1qto4hHid1P71emI6Fd8xi]","0.779","0.589","5","-10.645","1","0.0345","0.3320","0.000000","0.1200","0.894","128.044","audio_features","27ze5t5tIDPlVits0KRbxT","spotify:track:27ze5t5tIDPlVits0KRbxT","https://api.spotify.com/v1/tracks/27ze5t5tIDPlVits0KRbxT","https://api.spotify.com/v1/audio-analysis/27ze5t5tIDPlVits0KRbxT","215213","4","Dominica"
"25","UWAIE","[3UTF2no3muGdiFXVujl94i]","0.705","0.783","9","-4.783","0","0.0403","0.13800","0.000000","0.0984","0.454","103.001","audio_features","5QjmUqgpPQgXgg4606DqZF","spotify:track:5QjmUqgpPQgXgg4606DqZF","https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF","https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF","172427","4","Dominica"
"26","Frente al Mar","[7a0XAaPaK2aDSqa8p3QnC7]","0.750","0.682","10","-3.825","1","0.0945","0.16800","0.000001","0.1120","0.618","100.036","audio_features","60u6hcpH5Qm1M3xESdNBrB","spotify:track:60u6hcpH5Qm1M3xESdNBrB","https://api.spotify.com/v1/tracks/60u6hcpH5Qm1M3xESdNBrB","https://api.spotify.com/v1/audio-analysis/60u6hcpH5Qm1M3xESdNBrB","165178","4","Dominica"
"27","Los Infieles","[1qto4hHid1P71emI6Fd8xi]","0.745","0.716","9","-8.221","0","0.0411","0.20200","0.000000","0.0590","0.817","132.932","audio_features","0HDHY6RSHHG2ZTE0cMT4GJ","spotify:track:0HDHY6RSHHG2ZTE0cMT4GJ","https://api.spotify.com/v1/tracks/0HDHY6RSHHG2ZTE0cMT4GJ","https://api.spotify.com/v1/audio-analysis/0HDHY6RSHHG2ZTE0cMT4GJ","257187","4","Dominica"
"28","Dile al Amor","[1qto4hHid1P71emI6Fd8xi]","0.825","0.605","11","-9.710","1","0.0376","0.07640","0.000000","0.3140","0.944","124.005","audio_features","2Bhmj4XK33InfhqKPxcJ1v","spotify:track:2Bhmj4XK33InfhqKPxcJ1v","https://api.spotify.com/v1/tracks/2Bhmj4XK33InfhqKPxcJ1v","https://api.spotify.com/v1/audio-analysis/2Bhmj4XK33InfhqKPxcJ1v","229360","4","Dominica"
"29","Mala Mujer","[5wJ6ampK4rbYM4QjhIbsGa, 7qYeIN2r4H1kBvr0Gm9Iav]","0.799","0.760","7","-4.762","0","0.0615","0.18400","0.000000","0.1480","0.948","115.042","audio_features","6LkoWYYXeRISrlQCMhObCc","spotify:track:6LkoWYYXeRISrlQCMhObCc","https://api.spotify.com/v1/tracks/6LkoWYYXeRISrlQCMhObCc","https://api.spotify.com/v1/audio-analysis/6LkoWYYXeRISrlQCMhObCc","194087","4","Dominica"
