position,title,artists_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,country
45,Sant'allegria - Jack Sani Remix,"[4MR6tQyIrWK82b56cYPBDv, 7CRwZOgk6IQ8Y6ABhwrpDN]",0.745,0.64,9,-8.725,0,0.047,0.204,0.000155,0.309,0.486,122.017,audio_features,2wpSLqGcN5KXVeAGdAnQd0,spotify:track:2wpSLqGcN5KXVeAGdAnQd0,https://api.spotify.com/v1/tracks/2wpSLqGcN5KXVeAGdAnQd0,https://api.spotify.com/v1/audio-analysis/2wpSLqGcN5KXVeAGdAnQd0,147362,4,Italy
46,São Paulo (feat. Anitta),"[1Xyo4u8uXC1ZmMpatF05PJ, 7FNnA9vBm6EKceENgCGRMb]",0.574,0.659,5,-7.377,0,0.0768,0.0412,0.0002,0.0921,0.506,127.347,audio_features,0xGQTpN4ESETtl1Sp6rzd2,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,https://api.spotify.com/v1/tracks/0xGQTpN4ESETtl1Sp6rzd2,https://api.spotify.com/v1/audio-analysis/0xGQTpN4ESETtl1Sp6rzd2,301623,4,Italy
47,Tessera sanitaria (feat. Nerissima Serpe & Papa V),"[2E6AK3UPEGCvjnzuygCh2h, 08ppjXEpROUgrG1X0DEquB, 0vAALEhfbmllIOX1t7k5KU]",0.513,0.822,1,-4.51,1,0.383,0.14,0.0,0.11,0.768,165.946,audio_features,5JgTIfS7FfSE9tuebzX8HC,spotify:track:5JgTIfS7FfSE9tuebzX8HC,https://api.spotify.com/v1/tracks/5JgTIfS7FfSE9tuebzX8HC,https://api.spotify.com/v1/audio-analysis/5JgTIfS7FfSE9tuebzX8HC,204668,4,Italy
48,Paradiso Artificiale (feat. Baby Gang & Kid Yugi),"[1AgAVqo74e2q4FVvg0xpT7, 3LvwPiJQJ0da0GurKMToV0, 0EUR8jz8L936AEbV2Spkca]",0.548,0.751,10,-6.992,0,0.186,0.275,0.0,0.232,0.593,104.361,audio_features,5omIW7YOPhA6CULhkdz6jE,spotify:track:5omIW7YOPhA6CULhkdz6jE,https://api.spotify.com/v1/tracks/5omIW7YOPhA6CULhkdz6jE,https://api.spotify.com/v1/audio-analysis/5omIW7YOPhA6CULhkdz6jE,162412,4,Italy
49,Polvere (feat. Tony Boy),"[2K5nCggbhSZ00YCYP5qkZS, 6PsQc21YZU7WNfiODG69Qk]",0.735,0.685,9,-2.787,0,0.0553,0.115,0.0,0.106,0.496,130.039,audio_features,3ppXueOTvYpYp7zQUbuIKh,spotify:track:3ppXueOTvYpYp7zQUbuIKh,https://api.spotify.com/v1/tracks/3ppXueOTvYpYp7zQUbuIKh,https://api.spotify.com/v1/audio-analysis/3ppXueOTvYpYp7zQUbuIKh,167922,4,Italy
0,APT.,"[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]",0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,audio_features,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,169917,4,Japan
1,ライラック,[4QvgGvpgzgyUOo8Yp8LDm9],0.531,0.794,10,-4.363,1,0.0964,0.0176,0.0,0.082,0.775,149.923,audio_features,78W4mTLIh4qoLu92W4IQhO,spotify:track:78W4mTLIh4qoLu92W4IQhO,https://api.spotify.com/v1/tracks/78W4mTLIh4qoLu92W4IQhO,https://api.spotify.com/v1/audio-analysis/78W4mTLIh4qoLu92W4IQhO,288200,4,Japan
2,Bunny Girl,[2VcWFvgGxVdma52qB5DSDw],0.729,0.682,5,-8.726,0,0.0593,0.00174,0.0,0.197,0.683,159.932,audio_features,5skCbGGAnc7Ns18Figz54h,spotify:track:5skCbGGAnc7Ns18Figz54h,https://api.spotify.com/v1/tracks/5skCbGGAnc7Ns18Figz54h,https://api.spotify.com/v1/audio-analysis/5skCbGGAnc7Ns18Figz54h,217492,4,Japan
3,オトノケ - Otonoke,[0pWR7TsFhvSCnbmHDjWgrE],0.517,0.842,1,-6.905,1,0.348,0.062,0.0575,0.158,0.643,169.745,audio_features,6KYOlIwDHbrbeBbJEtQ0Fj,spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj,https://api.spotify.com/v1/tracks/6KYOlIwDHbrbeBbJEtQ0Fj,https://api.spotify.com/v1/audio-analysis/6KYOlIwDHbrbeBbJEtQ0Fj,185627,4,Japan
4,Who,[1oSPZhvZMIrWW5I41kPkkY],0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,audio_features,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4,Japan
