11,heart pt. 6,[2YZyLoL8N0Wb9xBt1NhZWg],0.704,0.647,9,-7.664,1,0.3250,0.27000,0.000000,0.1090,0.585,80.998,audio_features,1SGvjfc85yzqKXsfKcCxn2,spotify:track:1SGvjfc85yzqKXsfKcCxn2,https://api.spotify.com/v1/tracks/1SGvjfc85yzqKXsfKcCxn2,https://api.spotify.com/v1/audio-analysis/1SGvjfc85yzqKXsfKcCxn2,292461,4,United States,NaN
12,Die With A Smile,"[1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C]",0.521,0.592,6,-7.777,0,0.0304,0.30800,0.000000,0.1220,0.535,157.969,audio_features,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3,United States,NaN
13,Sailor Song,[1iCnM8foFssWlPRLfAbIwo],0.494,0.413,11,-10.432,1,0.0254,0.68200,0.000067,0.1930,0.273,94.938,audio_features,2262bWmqomIaJXwCRHr13j,spotify:track:2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/tracks/2262bWmqomIaJXwCRHr13j,https://api.spotify.com/v1/audio-analysis/2262bWmqomIaJXwCRHr13j,211979,4,United States,NaN
14,gloria (with sza),"[2YZyLoL8N0Wb9xBt1NhZWg, 7tYKF4w9nC0nq9CsPZTHyP]",0.719,0.555,2,-9.785,0,0.2700,0.22000,0.000000,0.1270,0.413,140.070,audio_features,0wgOhYnqZKjOHr6bmdz0aN,spotify:track:0wgOhYnqZKjOHr6bmdz0aN,https://api.spotify.com/v1/tracks/0wgOhYnqZKjOHr6bmdz0aN,https://api.spotify.com/v1/audio-analysis/0wgOhYnqZKjOHr6bmdz0aN,287523,4,United States,NaN
15,"gnx (feat. hitta j3, youngthreat, peysoh)","[2YZyLoL8N0Wb9xBt1NhZWg, 50DchbKTiJU56SYmIRSJCI, 1q2nUylEqrRJkiDkXa39Mw, 27OdVby2oeFjM1C5XvC3hC]",0.750,0.556,1,-7.275,1,0.4360,0.13400,0.000000,0.1070,0.736,179.911,audio_features,3aZptNYC6Z1YoumeqZcDcQ,spotify:track:3aZptNYC6Z1YoumeqZcDcQ,https://api.spotify.com/v1/tracks/3aZptNYC6Z1YoumeqZcDcQ,https://api.spotify.com/v1/audio-analysis/3aZptNYC6Z1YoumeqZcDcQ,193539,4,United States,NaN
16,APT.,"[3eVa5w3URK5duf6eyVDbu9, 0du5cEVh5yTK9QJze8zA0C]",0.777,0.783,0,-4.477,0,0.2600,0.02830,0.000000,0.3550,0.939,149.027,audio_features,5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,https://api.spotify.com/v1/audio-analysis/5vNRhkKd0yEAg8suGBpjeY,169917,4,United States,NaN
17,BIRDS OF A FEATHER,[6qqNVTkY8uBg9cP3Jd7DAH],0.747,0.507,2,-10.171,1,0.0358,0.20000,0.060800,0.1170,0.438,104.978,audio_features,6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4,United States,NaN
18,Like Him (feat. Lola Young),"[4V8LLVI7PbaPR0K2TGSxFF, 67FB4n52MgexGQIG8s0yUH]",0.392,0.555,4,-6.707,0,0.0390,0.28700,0.000253,0.1300,0.191,96.063,audio_features,6jbYpRPTEFl1HFKHk1IC0m,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,https://api.spotify.com/v1/tracks/6jbYpRPTEFl1HFKHk1IC0m,https://api.spotify.com/v1/audio-analysis/6jbYpRPTEFl1HFKHk1IC0m,278015,3,United States,NaN
19,Who,[1oSPZhvZMIrWW5I41kPkkY],0.660,0.756,0,-3.743,0,0.0320,0.00289,0.000000,0.1930,0.838,116.034,audio_features,7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4,United States,NaN
20,Timeless (with Playboi Carti),"[1Xyo4u8uXC1ZmMpatF05PJ, 699OTQXzgjhIYAHMy9RyPD]",0.769,0.722,11,-5.485,0,0.0507,0.05840,0.000003,0.1110,0.570,119.973,audio_features,1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,https://api.spotify.com/v1/audio-analysis/1Es7AUAhQvapIcoh3qMKDL,256000,4,United States,NaN
